,SALEM_T,SALEM_W,EUGENE_T,EUGENE_W,SEATTLE_T,SEATTLE_W,BOISE_T,BOISE_W,PORTLAND_T,PORTLAND_W,SPOKANE_T,SPOKANE_W,PASCO_T,PASCO_W,FRESNO_T,FRESNO_W,LOS ANGELES_T,LOS ANGELES_W,SAN DIEGO_T,SAN DIEGO_W,SACRAMENTO_T,SACRAMENTO_W,SAN JOSE_T,SAN JOSE_W,SAN FRANCISCO_T,SAN FRANCISCO_W,TUCSON_T,TUCSON_W,PHOENIX_T,PHOENIX_W,LAS VEGAS_T,LAS VEGAS_W,OAKLAND_T,OAKLAND_W
2000-01-01,6.1,4.6,5.55,3.7,4.45,5.5,-4.45,0.9,6.1,4.2,-1.4,3.9,2.2,5.1,7.25,1.6,11.1,2.4,12.8,2.9,6.7,1.7,10.25,3.2,10.25,5.1,9.15,2.9,11.95,2.4,10.3,4.0,8.6,3.8
2000-01-02,4.7,4.0,4.7,3.7,5.0,4.0,-4.15,1.6,5.85,3.9,-1.95,6.3,1.35,5.2,5.0,2.4,12.25,5.4,12.5,4.3,5.3,1.4,7.25,2.7,8.6,4.2,5.6,4.0,10.0,2.7,8.6,7.7,6.65,2.4
2000-01-03,6.65,5.9,6.9,4.4,5.25,4.2,-2.8,3.0,5.0,3.8,-2.8,4.2,-1.15,1.6,5.0,1.2,12.8,3.1,13.3,1.6,6.95,1.6,8.3,1.3,12.5,2.1,4.45,2.1,7.5,1.1,7.2,3.4,6.7,1.7
2000-01-04,7.8,5.5,6.95,4.5,7.8,6.0,1.65,5.1,8.1,4.2,1.65,9.2,7.25,6.7,6.4,1.7,14.45,2.8,13.3,2.1,8.6,2.0,8.6,2.1,10.0,2.1,8.35,4.2,11.35,2.0,5.85,2.1,6.95,1.7
2000-01-05,3.6,1.7,3.85,1.9,4.75,3.0,-0.3,2.4,4.15,1.7,-1.65,4.2,5.0,4.2,5.0,1.4,13.6,2.4,12.5,1.2,9.15,5.4,10.85,4.2,10.85,3.1,8.85,2.8,10.55,1.4,7.5,4.1,8.6,2.7
2000-01-06,2.5,2.9,1.4,3.0,2.8,2.5,-1.95,4.0,1.95,2.0,-2.5,3.1,-1.4,1.7,5.8,0.6,13.6,1.8,13.05,1.3,4.7,1.6,8.35,1.8,8.3,1.6,6.35,2.9,10.3,1.7,6.4,4.1,7.75,2.2
2000-01-07,8.9,4.8,8.65,3.2,6.1,4.0,0.0,1.2,6.65,1.0,-0.55,4.5,2.8,1.9,6.1,0.9,12.5,2.5,12.5,1.5,8.9,1.8,9.15,1.6,9.45,2.6,7.75,3.1,10.8,1.5,5.85,1.9,8.05,1.6
2000-01-08,8.35,5.2,7.8,4.1,5.0,6.4,-0.55,3.7,8.05,4.1,1.65,8.8,8.35,7.6,6.1,0.6,10.85,2.4,11.4,1.7,5.6,1.8,10.55,2.0,11.4,3.0,8.3,2.6,10.25,1.3,5.55,2.1,10.0,2.1
2000-01-09,6.65,5.7,7.8,5.1,4.2,6.7,0.6,3.0,6.95,5.3,0.0,10.5,6.95,7.2,6.9,0.4,11.95,2.0,12.25,1.2,7.2,2.1,11.1,2.1,10.55,4.6,8.6,2.5,9.7,1.7,6.65,2.1,11.1,3.1
2000-01-10,3.9,2.4,4.45,2.4,1.65,3.7,3.35,4.2,3.9,1.7,-3.1,3.3,2.5,3.2,7.75,1.4,12.8,2.3,11.7,1.3,10.8,3.4,11.65,2.1,12.2,3.1,11.4,2.8,11.95,1.5,7.5,2.0,11.35,3.1
