,BPA,PNW,SDGE,SCE,PGE_valley,PGE_bay
0,6842.4200451014585,16796.382741983292,2399.450405163137,11987.433219838393,6388.29972277042,5086.412701811074
1,6738.320783621691,16517.51651814862,2243.8286960796027,11428.390711173952,5973.825296770677,4977.039290225521
2,6691.087325189546,16509.939185345713,2120.8156045677533,10937.537413825094,5738.962771968327,4822.4671320020525
3,6738.392364253729,16748.281134017994,2044.4098362296013,10500.122008310325,5611.320826188001,4724.484309754853
4,6881.5705300720565,17403.681129120323,2004.462494390054,10353.22740221308,5450.108721555402,4724.99127665654
5,7154.968260011633,18793.11654783134,2007.9121945005252,10371.21259021255,5439.288234117807,4729.436071180623
6,7443.074710706006,21420.159524459603,2069.634088434941,10575.51627675462,5561.08617326294,4779.650935759018
7,7740.343903719681,23095.3611676802,2173.6074869221898,10662.659746614358,5799.807908593886,5156.653451324818
8,7972.020403585968,23177.58651674772,2255.2617634133258,10579.027001322298,6083.974050076555,5368.7699442883395
9,8072.290666140448,22790.291495214155,2328.2930270793136,10753.366347366013,6221.656089354372,5511.230948402697
10,8007.462504963366,22281.40019571387,2367.5058199247173,10955.570374143132,6440.017707888176,5540.41649619037
11,7840.060775617654,21608.326637084152,2376.8987753624588,11129.130844360892,6426.525959503956,5434.165631546353
12,7624.528655479316,20926.12724292557,2366.654068050018,11191.21034230788,6343.198226764297,5370.9754695673855
13,7462.804108085658,20341.963484326287,2356.3132299208887,11148.941563709817,6216.485411000821,5214.807827846587
14,7312.329678899302,19891.86068065998,2345.5246252955526,10970.13233066247,6122.352156720384,5297.891301722408
15,7345.366948051408,20149.169623263417,2343.980532132417,10897.912696049392,6006.129357766592,5294.857233581994
16,7732.765969013068,21860.23130301148,2380.7259575826656,10808.550443567035,6283.977935862182,5312.378318235628
17,8158.166845322592,23841.90949886478,2581.3538754123542,11365.855174955806,6846.38987177586,5546.096857716097
18,8182.7262680094655,23980.886723039985,2936.98562730817,13021.961401645096,7756.216010237818,6064.953681778061
19,8077.186368303621,23565.722009151847,3091.7492817251587,13454.696585512893,8032.5812778121235,6065.957829873422
20,7899.134504903143,22736.63418317808,3064.955102518187,13366.630774127922,7989.651579426171,6002.3816242840585
21,7601.712675742201,21142.131318343025,2982.5977031085786,13193.046128480413,7737.811336145381,5778.659722122926
22,7180.773421696542,19246.127571411445,2796.6019392968674,12879.191206136271,7199.565591161115,5542.384437133413
23,6814.410059311847,17831.493063043505,2553.8905052324226,12207.84772110178,6729.475373389574,5214.872935512102
24,5936.392896236263,16390.789254093866,2175.0823534510146,10277.167842284782,6115.780212903361,4853.128467107433
25,5857.415266645646,16136.471154597482,2008.0837295962824,9831.90825754475,5889.561873225016,4715.560807095724
26,5878.2739611754905,16156.105346610375,1913.8403194060875,9480.579851342665,5564.342854173074,4575.558897374622
27,5973.0088796497,16411.101101810258,1868.988275846157,9244.618461426282,5525.374234905459,4429.023868484667
28,6185.26506106304,17108.064295917553,1850.241660214605,9235.18727194623,5384.83257419634,4455.789656603157
29,6559.772572581249,18683.31619723582,1874.039297335566,9418.17272373247,5395.128796611091,4547.752593032346
30,6970.284352602163,21669.46795558691,1960.16448160677,9823.92032235109,5580.973991755553,4769.543308885164
31,7346.621202317983,23373.69992633484,2091.1325227698585,10227.789899250673,6003.166163915849,5232.72843462437
32,7551.103090825986,23192.3728122167,2185.3654721515704,10478.63853832095,6228.821235715526,5402.781237174046
33,7591.460815157379,22499.683893081798,2272.1866880507228,10887.728032157687,6380.352118124155,5568.499110428549
34,7467.244183792591,21732.176899712624,2313.260759661787,11150.554150105694,6682.0519612391145,5613.343105128039
35,7269.527847015747,21027.85082907758,2314.722804960037,11372.919171000303,6717.828969458716,5454.072616844898
36,7035.675827851812,20339.551902713305,2297.3416351548244,11393.987907207478,6644.336014747076,5393.151548675471
37,6837.470815396949,19777.786317266815,2280.190898485912,11295.648058129165,6496.961143283184,5291.190368645615
38,6702.972717290328,19394.711415045716,2263.340179703642,11113.88351105736,6397.754014815065,5340.093002748885
39,6754.933887245467,19773.626037397145,2256.6302168027814,11018.06270694832,6404.870566511401,5269.563674797514
40,7083.948308850166,21530.583901767106,2286.8395762899813,10937.096358263065,6404.604189074976,5457.112236463731
41,7471.406600471653,23500.967523000178,2477.840801637618,11358.633737885208,7081.544843220267,5603.832538997513
42,7477.913052841942,23592.697327088656,2795.2116670036003,12796.290347168042,8033.339863289051,6193.280836066151
43,7367.780833400978,23182.89144426417,2910.878327734703,12926.627792436111,8181.624716849429,6147.161750468575
44,7180.940526744654,22399.88156199007,2853.2190586118936,12798.583360380317,8043.871852138467,6021.489516291464
45,6877.356097637155,20855.497720320745,2765.590523974944,12660.29733704411,7808.976836679564,5732.428142851887
46,6451.839220211686,18767.601221753972,2637.049838523578,12156.53922384357,7339.999664072117,5440.073696627016
47,6096.67596072638,17329.078492144516,2417.7387628273636,11465.75412349905,6812.071408824796,5092.168852631871
48,5974.984579265985,16660.233658287827,2241.7445902386467,10354.12563606497,5664.052914538368,4662.459835361673
49,5888.722827456896,16398.630441606878,2031.7198700623892,9421.99185595982,5211.766967729346,4544.149943032102
50,5897.522877335309,16455.888187480006,1930.2551543142597,9057.844064755976,4928.603133266643,4458.653350686372
51,5984.970313429064,16752.560281923383,1879.9730161877471,8817.626409202281,4856.810907695327,4444.37096515034
52,6198.429220913265,17454.073636769972,1865.4032478984423,8801.068120627093,4745.31433686815,4487.747189541435
53,6634.760514447804,19288.612877994477,1900.434351880029,9005.482367740944,4800.299287570711,4585.8688739928475
54,7194.696888826282,22516.42399454637,2004.5674826204026,9536.305175466836,5066.7240555304215,4832.909638898887
55,7589.213507581108,24210.61678204621,2163.76736925466,10165.092643606498,5450.319182135374,5245.056407622212
56,7710.614394185426,24029.412801721435,2291.4899343528014,10534.631385604778,5897.233196930601,5322.809116990178
57,7666.446564774407,23231.9285374236,2358.4521847352294,10863.186997840243,5604.377632209435,5798.562586118806
58,7400.047007518359,22204.747572858014,2394.5428688902443,11118.1421464433,6020.501055239942,5553.386869272229
59,7284.642813155617,21413.678933540647,2401.2413364358963,11285.704187024641,6030.133555886877,5491.404821941534
60,7125.284431921516,20696.731760667633,2392.9214581037504,11270.912364778489,5980.345699735702,5376.482370794667
61,6982.683060053599,20232.592903792236,2382.078240118693,11175.491409226344,5809.7091245252195,5317.202469264277
62,6874.4884408823755,19896.37106093982,2369.1153974975523,11037.12938449769,5792.631810262803,5251.448446853092
63,6914.486605024272,20236.365556882673,2364.8279927752787,10945.151244818713,5728.7655210752355,5266.622951048818
64,7274.564623595229,21805.909638705023,2389.0526976633278,10828.207616613323,5866.950917093081,5290.452625932005
65,7679.182841826475,23695.195910119855,2551.1716559921965,11194.442143359065,6292.504584702367,5416.213284704036
66,7668.623460938439,23765.607891017822,2829.0361423230793,12470.291776354563,7061.112678203326,5834.326172242631
67,7561.707147321417,23411.379014476985,2926.6121873345955,12776.165382491456,7231.37397882732,5867.764215286941
68,7391.591957648674,22579.357495411045,2866.8770652169583,12614.236204282923,7101.26705529912,5762.858432592689
69,7080.3348466297875,20926.091705470142,2779.992502006116,12384.637440117214,6918.187858064388,5642.423585414314
70,6607.713483106167,18855.86579872155,2650.8817834828255,11809.191319931908,6549.616572314678,5346.826200809074
71,6216.676472337283,17412.970888193988,2430.246732505756,11002.944387263822,6079.289270044626,5025.858089461802
72,6490.637207673213,17130.592412324295,2200.2096126458705,10372.76959235678,5226.780933482607,4360.2264909034675
73,6345.367474988538,16758.53577003152,2005.1430603414155,9619.611568488855,4956.883044783185,4264.184174080306
74,6344.935275958562,16741.66425189455,1910.4879534472902,9271.487207397902,4670.999597725818,4241.363238418993
75,6428.947215613027,16935.498704133774,1861.7870679363043,9075.30883532529,4626.2933433329745,4161.9816795181
76,6687.797837342543,17601.306758123956,1844.6090756047756,9085.711600004566,4572.9328787694685,4224.578753861811
77,7186.6711279943665,19159.693654596984,1890.011088613411,9353.568154646644,4630.464554279943,4379.290678032595
78,7866.188866177338,22181.84294388337,2021.8231760439278,10091.093146763451,4936.552672108218,4624.248519787989
79,8291.990928975525,23837.905363870424,2243.119148214917,10996.113695386615,5457.570999939449,5128.022327780635
80,8329.615198019701,23626.446703170885,2387.070746646624,11500.885930814411,5735.143165886351,5438.264392852373
81,8255.609828257397,23120.165368427522,2459.8736123399603,11798.99814997673,5730.022129411799,5503.767339898176
82,8106.306348022666,22641.103880532744,2490.3286021243025,12040.931329736759,5901.524959696134,5566.84857647257
83,7968.340543963851,22151.845304970637,2503.5869050371666,12175.851669202495,6013.531009824307,5327.01502288266
84,7807.0354369997085,21689.325069751107,2494.5068507318124,12147.850962217562,5955.983355957276,5194.7002255292255
85,7659.374385681952,21298.834229420594,2485.1068196017045,12031.938259453595,5785.553918041448,5091.812550035128
86,7547.363018512737,21046.681397379518,2476.504338864024,11899.308862974867,5711.3250923278865,5086.958831359345
