,CAISO,PNW
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,267.7437562,0
8,1270.095381,0
9,2146.449945,0
10,2917.056974,0
11,3239.924445,0
12,3232.049629,0
13,2733.686251,0
14,1963.079221,0
15,1099.099369,0
16,5.624868828,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,245.6559262,0
32,1165.317398,0
33,1969.37608,0
34,2676.410994,0
35,2972.64314,0
36,2965.417966,0
37,2508.16765,0
38,1801.132736,0
39,1008.427899,0
40,5.160838785,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,305.8626252,0
56,1066.413649,0
57,1951.157216,0
58,2148.223069,0
59,3003.201481,0
60,2693.233317,0
61,1922.418446,0
62,1323.009812,0
63,862.1631045,0
64,23.60684691,0
65,23.60684691,0
66,25.65961621,0
67,25.65961621,0
68,25.65961621,0
69,10.26384648,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,685.8427867,0
80,2583.640658,0
81,4055.157787,0
82,4526.362729,0
83,4965.621574,0
84,4809.884347,0
85,4741.998889,0
86,3143.695685,0
87,1654.208876,0
88,246.5839422,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,530.4927953,0
104,2384.798918,0
105,4245.554802,0
106,5450.047562,0
107,5828.970987,0
108,6136.947048,0
109,5841.870508,0
110,5359.750916,0
111,3566.717517,0
112,683.6746054,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,723.9723577,0
128,3321.18261,0
129,5420.053145,0
130,6650.481501,0
131,6730.021065,0
132,6569.318681,0
133,5903.783554,0
134,5210.653068,0
135,2843.945226,0
136,6.49302563,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,538.3996736,0
152,2304.672036,0
153,4038.801134,0
154,4553.093359,0
155,5150.958072,0
156,5674.893276,0
157,5322.924534,0
158,4475.949525,0
159,2695.212695,0
160,448.3985342,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,725.0306169,0
176,2233.174414,0
177,3378.802902,0
178,4447.321781,0
179,4298.109679,0
180,4062.775156,0
181,3930.587253,0
182,3679.229954,0
183,2176.093274,0
184,19.02704658,0
185,8.011388032,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,121.6439459,0
200,1227.497999,0
201,1452.690097,0
202,2834.002342,0
203,3604.078892,0
204,3974.037339,0
205,3747.839919,0
206,3000.885772,0
207,1436.604947,0
208,240.2719261,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,528.1977766,0
224,2374.481798,0
225,4227.187677,0
226,5426.469559,0
227,5803.753685,0
228,6110.397379,0
229,5816.5974,0
230,5336.563554,0
231,3551.287179,0
232,680.7168914,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,535.5317927,0
248,2292.395793,0
249,4017.287746,0
250,4528.840504,0
251,5123.520584,0
252,5644.664955,0
253,5294.571037,0
254,4452.10759,0
255,2680.856168,0
256,446.0100602,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,723.9720855,0
272,3321.181361,0
273,5420.051107,0
274,6650.479001,0
275,6730.018535,0
276,6569.316211,0
277,5903.781334,0
278,5210.651109,0
279,2843.944157,0
280,6.493023189,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,529.3930996,0
296,2379.855302,0
297,4236.753894,0
298,5438.749777,0
299,5816.887705,0
300,6124.225341,0
301,5829.760486,0
302,5348.640313,0
303,3559.323819,0
304,682.2573685,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,322.9741451,0
320,1668.429252,0
321,2518.873735,0
322,3934.117225,0
323,5076.699126,0
324,5091.305997,0
325,4909.531603,0
326,4260.337342,0
327,2807.765181,0
328,556.6840793,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,756.2893259,0
344,2406.120485,0
345,3530.750723,0
346,3512.543758,0
347,4046.147894,0
348,3694.613411,0
349,3238.038743,0
350,2025.17475,0
351,1016.788983,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,165.2659705,0
368,643.2507835,0
369,1488.383351,0
370,2360.235567,0
371,2672.95441,0
372,2753.113354,0
373,2398.830614,0
374,2133.613368,0
375,1720.94325,0
376,609.6038195,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,772.267185,0
392,2928.097447,0
393,4548.67347,0
394,5416.733388,0
395,5811.754966,0
396,6245.291148,0
397,6249.241364,0
398,6086.294963,0
399,4398.565271,0
400,1068.533368,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,3.229179711,0
411,3.229179711,0
412,1.614589855,0
413,0,0
414,0,0
415,891.2536002,0
416,3636.056354,0
417,5179.604256,0
418,5980.440825,0
419,6180.649967,0
420,5680.127111,0
421,5321.688164,0
422,4520.851595,0
423,2962.772385,0
424,904.170319,0
425,1.614589855,0
426,1.614589855,0
427,1.614589855,0
428,1.614589855,0
429,1.614589855,0
430,4.843769566,0
431,6.458359422,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,12.26222272,0
439,895.1422582,0
