,Source,Sink,Time,Value
0,SCE,SCE,1,0.0
1,SCE,SCE,2,0.0
2,SCE,SCE,3,0.0
3,SCE,SCE,4,0.0
4,SCE,SCE,5,0.0
5,SCE,SCE,6,0.0
6,SCE,SCE,7,0.0
7,SCE,SCE,8,0.0
8,SCE,SCE,9,0.0
9,SCE,SCE,10,0.0
10,SCE,SCE,11,0.0
11,SCE,SCE,12,0.0
12,SCE,SCE,13,0.0
13,SCE,SCE,14,0.0
14,SCE,SCE,15,0.0
15,SCE,SCE,16,0.0
16,SCE,SCE,17,0.0
17,SCE,SCE,18,0.0
18,SCE,SCE,19,0.0
19,SCE,SCE,20,0.0
20,SCE,SCE,21,0.0
21,SCE,SCE,22,0.0
22,SCE,SCE,23,0.0
23,SCE,SCE,24,0.0
24,SCE,SDGE,1,157.42507368342922
25,SCE,SDGE,2,5.174390436191739
26,SCE,SDGE,3,0.0
27,SCE,SDGE,4,0.0
28,SCE,SDGE,5,0.0
29,SCE,SDGE,6,0.0
30,SCE,SDGE,7,0.0
31,SCE,SDGE,8,0.0
32,SCE,SDGE,9,0.0
33,SCE,SDGE,10,0.0
34,SCE,SDGE,11,0.0
35,SCE,SDGE,12,0.0
36,SCE,SDGE,13,0.0
37,SCE,SDGE,14,0.0
38,SCE,SDGE,15,0.0
39,SCE,SDGE,16,0.0
40,SCE,SDGE,17,212.51169547406772
41,SCE,SDGE,18,323.6394378158226
42,SCE,SDGE,19,576.6601608516195
43,SCE,SDGE,20,600.0
44,SCE,SDGE,21,600.0
45,SCE,SDGE,22,600.0000000000002
46,SCE,SDGE,23,599.9999999999998
47,SCE,SDGE,24,384.8153662677635
48,SCE,PGE_bay,1,0.0
49,SCE,PGE_bay,2,0.0
50,SCE,PGE_bay,3,0.0
51,SCE,PGE_bay,4,0.0
52,SCE,PGE_bay,5,0.0
53,SCE,PGE_bay,6,0.0
54,SCE,PGE_bay,7,0.0
55,SCE,PGE_bay,8,0.0
56,SCE,PGE_bay,9,0.0
57,SCE,PGE_bay,10,0.0
58,SCE,PGE_bay,11,0.0
59,SCE,PGE_bay,12,0.0
60,SCE,PGE_bay,13,0.0
61,SCE,PGE_bay,14,0.0
62,SCE,PGE_bay,15,0.0
63,SCE,PGE_bay,16,0.0
64,SCE,PGE_bay,17,0.0
65,SCE,PGE_bay,18,0.0
66,SCE,PGE_bay,19,0.0
67,SCE,PGE_bay,20,0.0
68,SCE,PGE_bay,21,0.0
69,SCE,PGE_bay,22,0.0
70,SCE,PGE_bay,23,0.0
71,SCE,PGE_bay,24,0.0
72,SCE,PGE_valley,1,0.0
73,SCE,PGE_valley,2,0.0
74,SCE,PGE_valley,3,0.0
75,SCE,PGE_valley,4,0.0
76,SCE,PGE_valley,5,0.0
77,SCE,PGE_valley,6,0.0
78,SCE,PGE_valley,7,0.0
79,SCE,PGE_valley,8,0.0
80,SCE,PGE_valley,9,0.0
81,SCE,PGE_valley,10,0.0
82,SCE,PGE_valley,11,0.0
83,SCE,PGE_valley,12,0.0
84,SCE,PGE_valley,13,0.0
85,SCE,PGE_valley,14,0.0
86,SCE,PGE_valley,15,0.0
87,SCE,PGE_valley,16,0.0
88,SCE,PGE_valley,17,0.0
89,SCE,PGE_valley,18,0.0
90,SCE,PGE_valley,19,0.0
91,SCE,PGE_valley,20,0.0
92,SCE,PGE_valley,21,0.0
93,SCE,PGE_valley,22,0.0
94,SCE,PGE_valley,23,0.0
95,SCE,PGE_valley,24,0.0
96,SDGE,SCE,1,0.0
97,SDGE,SCE,2,0.0
98,SDGE,SCE,3,0.0
99,SDGE,SCE,4,0.0
100,SDGE,SCE,5,0.0
101,SDGE,SCE,6,0.0
102,SDGE,SCE,7,0.0
103,SDGE,SCE,8,0.0
104,SDGE,SCE,9,0.0
105,SDGE,SCE,10,0.0
106,SDGE,SCE,11,0.0
107,SDGE,SCE,12,0.0
108,SDGE,SCE,13,0.0
109,SDGE,SCE,14,0.0
110,SDGE,SCE,15,0.0
111,SDGE,SCE,16,0.0
112,SDGE,SCE,17,0.0
113,SDGE,SCE,18,0.0
114,SDGE,SCE,19,0.0
115,SDGE,SCE,20,0.0
116,SDGE,SCE,21,0.0
117,SDGE,SCE,22,0.0
118,SDGE,SCE,23,0.0
119,SDGE,SCE,24,0.0
120,SDGE,SDGE,1,0.0
121,SDGE,SDGE,2,0.0
122,SDGE,SDGE,3,0.0
123,SDGE,SDGE,4,0.0
124,SDGE,SDGE,5,0.0
125,SDGE,SDGE,6,0.0
126,SDGE,SDGE,7,0.0
127,SDGE,SDGE,8,0.0
128,SDGE,SDGE,9,0.0
129,SDGE,SDGE,10,0.0
130,SDGE,SDGE,11,0.0
131,SDGE,SDGE,12,0.0
132,SDGE,SDGE,13,0.0
133,SDGE,SDGE,14,0.0
134,SDGE,SDGE,15,0.0
135,SDGE,SDGE,16,0.0
136,SDGE,SDGE,17,0.0
137,SDGE,SDGE,18,0.0
138,SDGE,SDGE,19,0.0
139,SDGE,SDGE,20,0.0
140,SDGE,SDGE,21,0.0
141,SDGE,SDGE,22,0.0
142,SDGE,SDGE,23,0.0
143,SDGE,SDGE,24,0.0
144,SDGE,PGE_bay,1,0.0
145,SDGE,PGE_bay,2,0.0
146,SDGE,PGE_bay,3,0.0
147,SDGE,PGE_bay,4,0.0
148,SDGE,PGE_bay,5,0.0
149,SDGE,PGE_bay,6,0.0
150,SDGE,PGE_bay,7,0.0
151,SDGE,PGE_bay,8,0.0
152,SDGE,PGE_bay,9,0.0
153,SDGE,PGE_bay,10,0.0
154,SDGE,PGE_bay,11,0.0
155,SDGE,PGE_bay,12,0.0
156,SDGE,PGE_bay,13,0.0
157,SDGE,PGE_bay,14,0.0
158,SDGE,PGE_bay,15,0.0
159,SDGE,PGE_bay,16,0.0
160,SDGE,PGE_bay,17,0.0
161,SDGE,PGE_bay,18,0.0
162,SDGE,PGE_bay,19,0.0
163,SDGE,PGE_bay,20,0.0
164,SDGE,PGE_bay,21,0.0
165,SDGE,PGE_bay,22,0.0
166,SDGE,PGE_bay,23,0.0
167,SDGE,PGE_bay,24,0.0
168,SDGE,PGE_valley,1,0.0
169,SDGE,PGE_valley,2,0.0
170,SDGE,PGE_valley,3,0.0
171,SDGE,PGE_valley,4,0.0
172,SDGE,PGE_valley,5,0.0
173,SDGE,PGE_valley,6,0.0
174,SDGE,PGE_valley,7,0.0
175,SDGE,PGE_valley,8,0.0
176,SDGE,PGE_valley,9,0.0
177,SDGE,PGE_valley,10,0.0
178,SDGE,PGE_valley,11,0.0
179,SDGE,PGE_valley,12,0.0
180,SDGE,PGE_valley,13,0.0
181,SDGE,PGE_valley,14,0.0
182,SDGE,PGE_valley,15,0.0
183,SDGE,PGE_valley,16,0.0
184,SDGE,PGE_valley,17,0.0
185,SDGE,PGE_valley,18,0.0
186,SDGE,PGE_valley,19,0.0
187,SDGE,PGE_valley,20,0.0
188,SDGE,PGE_valley,21,0.0
189,SDGE,PGE_valley,22,0.0
190,SDGE,PGE_valley,23,0.0
191,SDGE,PGE_valley,24,0.0
192,PGE_bay,SCE,1,0.0
193,PGE_bay,SCE,2,0.0
194,PGE_bay,SCE,3,0.0
195,PGE_bay,SCE,4,0.0
196,PGE_bay,SCE,5,0.0
197,PGE_bay,SCE,6,0.0
198,PGE_bay,SCE,7,0.0
199,PGE_bay,SCE,8,0.0
200,PGE_bay,SCE,9,0.0
201,PGE_bay,SCE,10,0.0
202,PGE_bay,SCE,11,0.0
203,PGE_bay,SCE,12,0.0
204,PGE_bay,SCE,13,0.0
205,PGE_bay,SCE,14,0.0
206,PGE_bay,SCE,15,0.0
207,PGE_bay,SCE,16,0.0
208,PGE_bay,SCE,17,0.0
209,PGE_bay,SCE,18,0.0
210,PGE_bay,SCE,19,0.0
211,PGE_bay,SCE,20,0.0
212,PGE_bay,SCE,21,0.0
213,PGE_bay,SCE,22,0.0
214,PGE_bay,SCE,23,0.0
215,PGE_bay,SCE,24,0.0
216,PGE_bay,SDGE,1,0.0
217,PGE_bay,SDGE,2,0.0
218,PGE_bay,SDGE,3,0.0
219,PGE_bay,SDGE,4,0.0
220,PGE_bay,SDGE,5,0.0
221,PGE_bay,SDGE,6,0.0
222,PGE_bay,SDGE,7,0.0
223,PGE_bay,SDGE,8,0.0
224,PGE_bay,SDGE,9,0.0
225,PGE_bay,SDGE,10,0.0
226,PGE_bay,SDGE,11,0.0
227,PGE_bay,SDGE,12,0.0
228,PGE_bay,SDGE,13,0.0
229,PGE_bay,SDGE,14,0.0
230,PGE_bay,SDGE,15,0.0
231,PGE_bay,SDGE,16,0.0
232,PGE_bay,SDGE,17,0.0
233,PGE_bay,SDGE,18,0.0
234,PGE_bay,SDGE,19,0.0
235,PGE_bay,SDGE,20,0.0
236,PGE_bay,SDGE,21,0.0
237,PGE_bay,SDGE,22,0.0
238,PGE_bay,SDGE,23,0.0
239,PGE_bay,SDGE,24,0.0
240,PGE_bay,PGE_bay,1,0.0
241,PGE_bay,PGE_bay,2,0.0
242,PGE_bay,PGE_bay,3,0.0
243,PGE_bay,PGE_bay,4,0.0
244,PGE_bay,PGE_bay,5,0.0
245,PGE_bay,PGE_bay,6,0.0
246,PGE_bay,PGE_bay,7,0.0
247,PGE_bay,PGE_bay,8,0.0
248,PGE_bay,PGE_bay,9,0.0
249,PGE_bay,PGE_bay,10,0.0
250,PGE_bay,PGE_bay,11,0.0
251,PGE_bay,PGE_bay,12,0.0
252,PGE_bay,PGE_bay,13,0.0
253,PGE_bay,PGE_bay,14,0.0
254,PGE_bay,PGE_bay,15,0.0
255,PGE_bay,PGE_bay,16,0.0
256,PGE_bay,PGE_bay,17,0.0
257,PGE_bay,PGE_bay,18,0.0
258,PGE_bay,PGE_bay,19,0.0
259,PGE_bay,PGE_bay,20,0.0
260,PGE_bay,PGE_bay,21,0.0
261,PGE_bay,PGE_bay,22,0.0
262,PGE_bay,PGE_bay,23,0.0
263,PGE_bay,PGE_bay,24,0.0
264,PGE_bay,PGE_valley,1,0.0
265,PGE_bay,PGE_valley,2,0.0
266,PGE_bay,PGE_valley,3,0.0
267,PGE_bay,PGE_valley,4,0.0
268,PGE_bay,PGE_valley,5,0.0
269,PGE_bay,PGE_valley,6,0.0
270,PGE_bay,PGE_valley,7,0.0
271,PGE_bay,PGE_valley,8,0.0
272,PGE_bay,PGE_valley,9,0.0
273,PGE_bay,PGE_valley,10,0.0
274,PGE_bay,PGE_valley,11,0.0
275,PGE_bay,PGE_valley,12,0.0
276,PGE_bay,PGE_valley,13,0.0
277,PGE_bay,PGE_valley,14,0.0
278,PGE_bay,PGE_valley,15,0.0
279,PGE_bay,PGE_valley,16,0.0
280,PGE_bay,PGE_valley,17,0.0
281,PGE_bay,PGE_valley,18,0.0
282,PGE_bay,PGE_valley,19,0.0
283,PGE_bay,PGE_valley,20,0.0
284,PGE_bay,PGE_valley,21,0.0
285,PGE_bay,PGE_valley,22,0.0
286,PGE_bay,PGE_valley,23,0.0
287,PGE_bay,PGE_valley,24,0.0
288,PGE_valley,SCE,1,0.0
289,PGE_valley,SCE,2,0.0
290,PGE_valley,SCE,3,0.0
291,PGE_valley,SCE,4,0.0
292,PGE_valley,SCE,5,0.0
293,PGE_valley,SCE,6,0.0
294,PGE_valley,SCE,7,0.0
295,PGE_valley,SCE,8,0.0
296,PGE_valley,SCE,9,0.0
297,PGE_valley,SCE,10,0.0
298,PGE_valley,SCE,11,0.0
299,PGE_valley,SCE,12,0.0
300,PGE_valley,SCE,13,0.0
301,PGE_valley,SCE,14,0.0
302,PGE_valley,SCE,15,0.0
303,PGE_valley,SCE,16,0.0
304,PGE_valley,SCE,17,0.0
305,PGE_valley,SCE,18,0.0
306,PGE_valley,SCE,19,1147.7101813138934
307,PGE_valley,SCE,20,873.7038830334575
308,PGE_valley,SCE,21,1153.6751860303295
309,PGE_valley,SCE,22,568.7945764970821
310,PGE_valley,SCE,23,40.351728662854214
311,PGE_valley,SCE,24,303.6714000834211
312,PGE_valley,SDGE,1,0.0
313,PGE_valley,SDGE,2,0.0
314,PGE_valley,SDGE,3,0.0
315,PGE_valley,SDGE,4,0.0
316,PGE_valley,SDGE,5,0.0
317,PGE_valley,SDGE,6,0.0
318,PGE_valley,SDGE,7,0.0
319,PGE_valley,SDGE,8,0.0
320,PGE_valley,SDGE,9,0.0
321,PGE_valley,SDGE,10,0.0
322,PGE_valley,SDGE,11,0.0
323,PGE_valley,SDGE,12,0.0
324,PGE_valley,SDGE,13,0.0
325,PGE_valley,SDGE,14,0.0
326,PGE_valley,SDGE,15,0.0
327,PGE_valley,SDGE,16,0.0
328,PGE_valley,SDGE,17,0.0
329,PGE_valley,SDGE,18,0.0
330,PGE_valley,SDGE,19,0.0
331,PGE_valley,SDGE,20,0.0
332,PGE_valley,SDGE,21,0.0
333,PGE_valley,SDGE,22,0.0
334,PGE_valley,SDGE,23,0.0
335,PGE_valley,SDGE,24,0.0
336,PGE_valley,PGE_bay,1,3059.7844497811056
337,PGE_valley,PGE_bay,2,2954.8364752789676
338,PGE_valley,PGE_bay,3,2807.8462509237943
339,PGE_valley,PGE_bay,4,2706.1966876949127
340,PGE_valley,PGE_bay,5,2697.8623991435925
341,PGE_valley,PGE_bay,6,2712.03635597793
342,PGE_valley,PGE_bay,7,2768.6947338169957
343,PGE_valley,PGE_bay,8,3165.801824870282
344,PGE_valley,PGE_bay,9,3394.587768102034
345,PGE_valley,PGE_bay,10,3525.750164598713
346,PGE_valley,PGE_bay,11,3550.092767822467
347,PGE_valley,PGE_bay,12,3462.59399396575
348,PGE_valley,PGE_bay,13,3415.7309284760054
349,PGE_valley,PGE_bay,14,3269.400723825812
350,PGE_valley,PGE_bay,15,3368.1017309135705
351,PGE_valley,PGE_bay,16,3378.1846169509827
352,PGE_valley,PGE_bay,17,3408.594417705627
353,PGE_valley,PGE_bay,18,3643.6847249114
354,PGE_valley,PGE_bay,19,4158.786214372445
355,PGE_valley,PGE_bay,20,4155.048077408085
356,PGE_valley,PGE_bay,21,4092.2272482456947
357,PGE_valley,PGE_bay,22,3872.624729296367
358,PGE_valley,PGE_bay,23,3636.6478635412423
359,PGE_valley,PGE_bay,24,3311.3931791596306
360,PGE_valley,PGE_valley,1,0.0
361,PGE_valley,PGE_valley,2,0.0
362,PGE_valley,PGE_valley,3,0.0
363,PGE_valley,PGE_valley,4,0.0
364,PGE_valley,PGE_valley,5,0.0
365,PGE_valley,PGE_valley,6,0.0
366,PGE_valley,PGE_valley,7,0.0
367,PGE_valley,PGE_valley,8,0.0
368,PGE_valley,PGE_valley,9,0.0
369,PGE_valley,PGE_valley,10,0.0
370,PGE_valley,PGE_valley,11,0.0
371,PGE_valley,PGE_valley,12,0.0
372,PGE_valley,PGE_valley,13,0.0
373,PGE_valley,PGE_valley,14,0.0
374,PGE_valley,PGE_valley,15,0.0
375,PGE_valley,PGE_valley,16,0.0
376,PGE_valley,PGE_valley,17,0.0
377,PGE_valley,PGE_valley,18,0.0
378,PGE_valley,PGE_valley,19,0.0
379,PGE_valley,PGE_valley,20,0.0
380,PGE_valley,PGE_valley,21,0.0
381,PGE_valley,PGE_valley,22,0.0
382,PGE_valley,PGE_valley,23,0.0
383,PGE_valley,PGE_valley,24,0.0
384,SCE,SCE,25,0.0
385,SCE,SCE,26,0.0
386,SCE,SCE,27,0.0
387,SCE,SCE,28,0.0
388,SCE,SCE,29,0.0
389,SCE,SCE,30,0.0
390,SCE,SCE,31,0.0
391,SCE,SCE,32,0.0
392,SCE,SCE,33,0.0
393,SCE,SCE,34,0.0
394,SCE,SCE,35,0.0
395,SCE,SCE,36,0.0
396,SCE,SCE,37,0.0
397,SCE,SCE,38,0.0
398,SCE,SCE,39,0.0
399,SCE,SCE,40,0.0
400,SCE,SCE,41,0.0
401,SCE,SCE,42,0.0
402,SCE,SCE,43,0.0
403,SCE,SCE,44,0.0
404,SCE,SCE,45,0.0
405,SCE,SCE,46,0.0
406,SCE,SCE,47,0.0
407,SCE,SCE,48,0.0
408,SCE,SDGE,25,13.16514017883701
409,SCE,SDGE,26,0.0
410,SCE,SDGE,27,0.0
411,SCE,SDGE,28,0.0
412,SCE,SDGE,29,0.0
413,SCE,SDGE,30,0.0
414,SCE,SDGE,31,0.0
415,SCE,SDGE,32,0.0
416,SCE,SDGE,33,0.0
417,SCE,SDGE,34,0.0
418,SCE,SDGE,35,0.0
419,SCE,SDGE,36,0.0
420,SCE,SDGE,37,0.0
421,SCE,SDGE,38,0.0
422,SCE,SDGE,39,0.0
423,SCE,SDGE,40,0.0
424,SCE,SDGE,41,225.82776722664354
425,SCE,SDGE,42,325.42134644646234
426,SCE,SDGE,43,576.9804975629567
427,SCE,SDGE,44,600.0
428,SCE,SDGE,45,446.88589724911407
429,SCE,SDGE,46,362.2511360846351
430,SCE,SDGE,47,211.18424667456782
431,SCE,SDGE,48,457.0033630873128
432,SCE,PGE_bay,25,0.0
433,SCE,PGE_bay,26,0.0
434,SCE,PGE_bay,27,0.0
435,SCE,PGE_bay,28,0.0
436,SCE,PGE_bay,29,0.0
437,SCE,PGE_bay,30,0.0
438,SCE,PGE_bay,31,0.0
439,SCE,PGE_bay,32,0.0
440,SCE,PGE_bay,33,0.0
441,SCE,PGE_bay,34,0.0
442,SCE,PGE_bay,35,0.0
443,SCE,PGE_bay,36,0.0
444,SCE,PGE_bay,37,0.0
445,SCE,PGE_bay,38,0.0
446,SCE,PGE_bay,39,0.0
447,SCE,PGE_bay,40,0.0
448,SCE,PGE_bay,41,0.0
449,SCE,PGE_bay,42,0.0
450,SCE,PGE_bay,43,0.0
451,SCE,PGE_bay,44,0.0
452,SCE,PGE_bay,45,0.0
453,SCE,PGE_bay,46,0.0
454,SCE,PGE_bay,47,0.0
455,SCE,PGE_bay,48,0.0
456,SCE,PGE_valley,25,0.0
457,SCE,PGE_valley,26,0.0
458,SCE,PGE_valley,27,0.0
459,SCE,PGE_valley,28,0.0
460,SCE,PGE_valley,29,0.0
461,SCE,PGE_valley,30,0.0
462,SCE,PGE_valley,31,0.0
463,SCE,PGE_valley,32,0.0
464,SCE,PGE_valley,33,0.0
465,SCE,PGE_valley,34,0.0
466,SCE,PGE_valley,35,0.0
467,SCE,PGE_valley,36,0.0
468,SCE,PGE_valley,37,0.0
469,SCE,PGE_valley,38,0.0
470,SCE,PGE_valley,39,0.0
471,SCE,PGE_valley,40,0.0
472,SCE,PGE_valley,41,0.0
473,SCE,PGE_valley,42,0.0
474,SCE,PGE_valley,43,0.0
475,SCE,PGE_valley,44,0.0
476,SCE,PGE_valley,45,0.0
477,SCE,PGE_valley,46,0.0
478,SCE,PGE_valley,47,0.0
479,SCE,PGE_valley,48,0.0
480,SDGE,SCE,25,0.0
481,SDGE,SCE,26,0.0
482,SDGE,SCE,27,0.0
483,SDGE,SCE,28,0.0
484,SDGE,SCE,29,0.0
485,SDGE,SCE,30,0.0
486,SDGE,SCE,31,0.0
487,SDGE,SCE,32,0.0
488,SDGE,SCE,33,0.0
489,SDGE,SCE,34,0.0
490,SDGE,SCE,35,0.0
491,SDGE,SCE,36,0.0
492,SDGE,SCE,37,0.0
493,SDGE,SCE,38,0.0
494,SDGE,SCE,39,0.0
495,SDGE,SCE,40,0.0
496,SDGE,SCE,41,0.0
497,SDGE,SCE,42,0.0
498,SDGE,SCE,43,0.0
499,SDGE,SCE,44,0.0
500,SDGE,SCE,45,0.0
501,SDGE,SCE,46,0.0
502,SDGE,SCE,47,0.0
503,SDGE,SCE,48,0.0
504,SDGE,SDGE,25,0.0
505,SDGE,SDGE,26,0.0
506,SDGE,SDGE,27,0.0
507,SDGE,SDGE,28,0.0
508,SDGE,SDGE,29,0.0
509,SDGE,SDGE,30,0.0
510,SDGE,SDGE,31,0.0
511,SDGE,SDGE,32,0.0
512,SDGE,SDGE,33,0.0
