,Generator,Time,Value,Zones,Type,$/MWh
0,DISCOV_1_CHEVRN,1,0.0,PGE_valley,Gas,51.16759999999999
1,DISCOV_1_CHEVRN,2,0.0,PGE_valley,Gas,51.16759999999999
2,DISCOV_1_CHEVRN,3,0.0,PGE_valley,Gas,51.16759999999999
3,DISCOV_1_CHEVRN,4,0.0,PGE_valley,Gas,51.16759999999999
4,DISCOV_1_CHEVRN,5,0.0,PGE_valley,Gas,51.16759999999999
5,DISCOV_1_CHEVRN,6,0.0,PGE_valley,Gas,51.16759999999999
6,DISCOV_1_CHEVRN,7,0.0,PGE_valley,Gas,51.16759999999999
7,DISCOV_1_CHEVRN,8,0.0,PGE_valley,Gas,51.16759999999999
8,DISCOV_1_CHEVRN,9,0.0,PGE_valley,Gas,51.16759999999999
9,DISCOV_1_CHEVRN,10,0.0,PGE_valley,Gas,51.16759999999999
10,DISCOV_1_CHEVRN,11,0.0,PGE_valley,Gas,51.16759999999999
11,DISCOV_1_CHEVRN,12,0.0,PGE_valley,Gas,51.16759999999999
12,DISCOV_1_CHEVRN,13,0.0,PGE_valley,Gas,51.16759999999999
13,DISCOV_1_CHEVRN,14,0.0,PGE_valley,Gas,51.16759999999999
14,DISCOV_1_CHEVRN,15,0.0,PGE_valley,Gas,51.16759999999999
15,DISCOV_1_CHEVRN,16,0.0,PGE_valley,Gas,51.16759999999999
16,DISCOV_1_CHEVRN,17,0.0,PGE_valley,Gas,51.16759999999999
17,DISCOV_1_CHEVRN,18,0.0,PGE_valley,Gas,51.16759999999999
18,DISCOV_1_CHEVRN,19,0.0,PGE_valley,Gas,51.16759999999999
19,DISCOV_1_CHEVRN,20,0.0,PGE_valley,Gas,51.16759999999999
20,DISCOV_1_CHEVRN,21,0.0,PGE_valley,Gas,51.16759999999999
21,DISCOV_1_CHEVRN,22,0.0,PGE_valley,Gas,51.16759999999999
22,DISCOV_1_CHEVRN,23,0.0,PGE_valley,Gas,51.16759999999999
