,Zone,Time,Value
0,SCE,1,0.0
1,SCE,2,0.0
2,SCE,3,0.0
3,SCE,4,0.0
4,SCE,5,0.0
5,SCE,6,0.0
6,SCE,7,0.0
7,SCE,8,359.35528480508754
8,SCE,9,1192.0077739876078
9,SCE,10,1744.7721632975465
10,SCE,11,2172.4925998460417
11,SCE,12,2410.894154643563
12,SCE,13,2448.874794501011
13,SCE,14,2511.981088418002
14,SCE,15,2197.0339363693156
15,SCE,16,1405.283674725586
16,SCE,17,0.0
17,SCE,18,0.0
18,SCE,19,0.0
19,SCE,20,0.0
20,SCE,21,0.0
21,SCE,22,0.0
22,SCE,23,0.0
23,SCE,24,0.0
24,SDGE,1,0.0
25,SDGE,2,0.0
26,SDGE,3,0.0
27,SDGE,4,0.0
28,SDGE,5,0.0
29,SDGE,6,0.0
30,SDGE,7,0.0
31,SDGE,8,83.82778734635042
32,SDGE,9,278.06290436838196
33,SDGE,10,407.007761001955
34,SDGE,11,506.7832737459039
35,SDGE,12,562.3958546195803
36,SDGE,13,571.2557020626904
37,SDGE,14,585.9766793527812
38,SDGE,15,512.5080982476059
39,SDGE,16,327.8143553950776
40,SDGE,17,0.0
41,SDGE,18,0.0
42,SDGE,19,0.0
43,SDGE,20,0.0
44,SDGE,21,0.0
45,SDGE,22,0.0
46,SDGE,23,0.0
47,SDGE,24,0.0
48,PGE_bay,1,0.0
49,PGE_bay,2,0.0
50,PGE_bay,3,0.0
51,PGE_bay,4,0.0
52,PGE_bay,5,0.0
53,PGE_bay,6,0.0
54,PGE_bay,7,0.0
55,PGE_bay,8,1.7641077617704297
56,PGE_bay,9,5.851674526848257
57,PGE_bay,10,8.565245165278865
58,PGE_bay,11,10.664963671971478
59,PGE_bay,12,11.83529857734113
60,PGE_bay,13,12.021748991186783
61,PGE_bay,14,12.3315435249611
62,PGE_bay,15,10.785439323994822
63,PGE_bay,16,6.898665312289241
64,PGE_bay,17,0.0
65,PGE_bay,18,0.0
66,PGE_bay,19,0.0
67,PGE_bay,20,0.0
68,PGE_bay,21,0.0
69,PGE_bay,22,0.0
70,PGE_bay,23,0.0
71,PGE_bay,24,0.0
72,PGE_valley,1,0.0
73,PGE_valley,2,0.0
74,PGE_valley,3,0.0
75,PGE_valley,4,0.0
76,PGE_valley,5,0.0
77,PGE_valley,6,0.0
78,PGE_valley,7,0.0
79,PGE_valley,8,171.24912754075172
80,PGE_valley,9,568.0458864766399
81,PGE_valley,10,831.4632436368853
82,PGE_valley,11,1035.2914734902681
83,PGE_valley,12,1148.900650785596
84,PGE_valley,13,1167.0001520703909
85,PGE_valley,14,1197.0731695897423
86,PGE_valley,15,1046.9865358589047
87,PGE_valley,16,669.681547537411
88,PGE_valley,17,0.0
89,PGE_valley,18,0.0
90,PGE_valley,19,0.0
91,PGE_valley,20,0.0
92,PGE_valley,21,0.0
93,PGE_valley,22,0.0
94,PGE_valley,23,0.0
95,PGE_valley,24,0.0
96,SCE,25,0.0
97,SCE,26,0.0
