,Zone,Time,Value
0,SCE,1,550.3469785504072
1,SCE,2,534.4298442014472
2,SCE,3,506.93661214415255
3,SCE,4,521.406734279571
4,SCE,5,554.6880151910328
5,SCE,6,518.0303724479731
6,SCE,7,493.4311648177622
7,SCE,8,408.53978162330844
8,SCE,9,328.9541098785081
9,SCE,10,360.3060411719143
10,SCE,11,370.43512666670716
11,SCE,12,296.1551663715601
12,SCE,13,234.41597859377558
13,SCE,14,197.27599844620207
14,SCE,15,143.7365465451546
15,SCE,16,109.00825342015081
16,SCE,17,86.33839540799553
17,SCE,18,79.58567174480036
18,SCE,19,90.19709464410707
19,SCE,20,108.04357861112291
20,SCE,21,105.63189158855319
21,SCE,22,91.6441068576489
22,SCE,23,92.12644426216285
23,SCE,24,85.85605800348159
24,SDGE,1,87.42491065514282
25,SDGE,2,84.89640754241739
26,SDGE,3,80.52899307498257
27,SDGE,4,82.82763226836934
28,SDGE,5,88.11450241315886
29,SDGE,6,82.29128312324573
30,SDGE,7,78.38359649448826
31,SDGE,8,64.89824655995264
32,SDGE,9,52.25573099632551
33,SDGE,10,57.23611591533014
34,SDGE,11,58.84516335070088
35,SDGE,12,47.0454821579822
36,SDGE,13,37.23795493286539
37,SDGE,14,31.338114336506056
38,SDGE,15,22.833149320975078
39,SDGE,16,17.316415256846874
40,SDGE,17,13.71521385387429
41,SDGE,18,12.642515563627141
42,SDGE,19,14.328184305444092
43,SDGE,20,17.16317264395442
44,SDGE,21,16.780066111723293
45,SDGE,22,14.558048224782766
46,SDGE,23,14.634669531228994
47,SDGE,24,13.638592547428066
48,PGE_bay,1,146.18591617745193
49,PGE_bay,2,141.95792736600941
50,PGE_bay,3,134.65503760079054
51,PGE_bay,4,138.49866379301102
52,PGE_bay,5,147.33900403511808
53,PGE_bay,6,137.60181768149286
54,PGE_bay,7,131.06765315471807
55,PGE_bay,8,108.5183794936913
56,PGE_bay,9,87.37843543647872
57,PGE_bay,10,95.70629218628973
58,PGE_bay,11,98.39683052084409
59,PGE_bay,12,78.66621606744565
60,PGE_bay,13,62.266744313971635
61,PGE_bay,14,52.40143708727242
62,PGE_bay,15,38.180020176056686
63,PGE_bay,16,28.95531731472756
64,PGE_bay,17,22.933636280248813
65,PGE_bay,18,21.139944057212595
66,PGE_bay,19,23.958603264840942
67,PGE_bay,20,28.69907556857952
68,PGE_bay,21,28.05847120320944
69,PGE_bay,22,24.342965884062988
70,PGE_bay,23,24.471086757137005
71,PGE_bay,24,22.8055154071748
72,PGE_valley,1,77.9658219613077
73,PGE_valley,2,75.71089459520502
74,PGE_valley,3,71.81602005375494
75,PGE_valley,4,73.86595402293922
76,PGE_valley,5,78.58080215206297
77,PGE_valley,6,73.38763609679619
78,PGE_valley,7,69.90274834918297
79,PGE_valley,8,57.876469063302025
80,PGE_valley,9,46.60183223278865
81,PGE_valley,10,51.04335583268786
82,PGE_valley,11,52.47830961111685
83,PGE_valley,12,41.95531523597101
84,PGE_valley,13,33.20893030078487
85,PGE_valley,14,27.947433113211957
86,PGE_valley,15,20.362677427230235
87,PGE_valley,16,15.44283590118803
88,PGE_valley,17,12.231272682799366
89,PGE_valley,18,11.274636830513385
90,PGE_valley,19,12.777921741248502
91,PGE_valley,20,15.306173636575744
92,PGE_valley,21,14.964517975045034
93,PGE_valley,22,12.982915138166925
94,PGE_valley,23,13.05124627047307
95,PGE_valley,24,12.162941550493226
96,SCE,25,1403.011534077777
97,SCE,26,1367.1487176626626
98,SCE,27,1130.1633497303546
99,SCE,28,831.1450020529834
100,SCE,29,458.46249092835126
101,SCE,30,545.2117360405867
102,SCE,31,723.5565528076411
103,SCE,32,586.4055116525424
104,SCE,33,434.7154908696946
105,SCE,34,272.3635516931643
106,SCE,35,128.9122860327077
107,SCE,36,86.74924511223563
108,SCE,37,91.1109390005603
109,SCE,38,92.56483696333517
110,SCE,39,110.01161251663402
111,SCE,40,132.78934726677403
112,SCE,41,110.98087782515054
113,SCE,42,162.83657183078859
114,SCE,43,172.52922491595461
115,SCE,44,192.88379639480317
116,SCE,45,242.31632712914978
117,SCE,46,227.77734750140075
118,SCE,47,252.49361286857396
119,SCE,48,263.15553126225655
120,SDGE,25,222.87422806964685
121,SDGE,26,217.17727025370422
122,SDGE,27,179.53115711862404
123,SDGE,28,132.03084668029163
124,SDGE,29,72.82867694434746
125,SDGE,30,86.60915598561405
126,SDGE,31,114.93997323246381
127,SDGE,32,93.15295888230492
128,SDGE,33,69.05636703919627
129,SDGE,34,43.2660850345912
130,SDGE,35,20.478253770820753
131,SDGE,36,13.780479041266597
132,SDGE,37,14.473352289151505
133,SDGE,38,14.704310038446474
134,SDGE,39,17.475803029986135
135,SDGE,40,21.094141102274
136,SDGE,41,17.629774862849434
137,SDGE,42,25.86726792103673
138,SDGE,43,27.406986249669878
139,SDGE,44,30.64039473979946
140,SDGE,45,38.49295821582848
141,SDGE,46,36.183380722878766
142,SDGE,47,40.10966246089326
143,SDGE,48,41.80335262238971
144,PGE_bay,25,372.67493873940947
145,PGE_bay,26,363.1488781291448
146,PGE_bay,27,300.1996397721254
147,PGE_bay,28,220.7728911703237
148,PGE_bay,29,121.7790991528433
149,PGE_bay,30,144.82186738578088
150,PGE_bay,31,192.19470933952965
151,PGE_bay,32,155.76396403270658
152,PGE_bay,33,115.47130226226261
153,PGE_bay,34,72.34656841849676
154,PGE_bay,35,34.24232597743798
155,PGE_bay,36,23.042768232937586
156,PGE_bay,37,24.201343172023826
157,PGE_bay,38,24.587534818385905
158,PGE_bay,39,29.221834574730913
159,PGE_bay,40,35.27217036773685
160,PGE_bay,41,29.47929567230561
161,PGE_bay,42,43.25346439255322
162,PGE_bay,43,45.828075368300446
163,PGE_bay,44,51.23475841736959
164,PGE_bay,45,64.36527439368041
165,PGE_bay,46,60.50335793005957
166,PGE_bay,47,67.06861591821496
167,PGE_bay,48,69.9006879915369
168,PGE_valley,25,198.75996732768505
169,PGE_valley,26,193.6794016688772
170,PGE_valley,27,160.10647454513355
171,PGE_valley,28,117.74554195750598
172,PGE_valley,29,64.94885288151643
173,PGE_valley,30,77.23832927241646
174,PGE_valley,31,102.50384498108248
175,PGE_valley,32,83.07411415077684
176,PGE_valley,33,61.5846945398734
177,PGE_valley,34,38.58483648986494
178,PGE_valley,35,18.26257385463359
179,PGE_valley,36,12.289476390900047
180,PGE_valley,37,12.907383025079374
181,PGE_valley,38,13.113351903139149
182,PGE_valley,39,15.584978439856485
183,PGE_valley,40,18.81182419612632
184,PGE_valley,41,15.722291025229659
185,PGE_valley,42,23.06851434269505
186,PGE_valley,43,24.441640196426906
187,PGE_valley,44,27.325204489263783
188,PGE_valley,45,34.32814634329622
189,PGE_valley,46,32.26845756269844
190,PGE_valley,47,35.769928489714644
191,PGE_valley,48,37.280366928819674
192,SCE,49,6.07341908212008
193,SCE,50,1.51835477053002
194,SCE,51,1.51835477053002
195,SCE,52,2.0244730273733595
196,SCE,53,4.555064311590058
197,SCE,54,9.616246880023457
198,SCE,55,15.1835477053002
199,SCE,56,7.5917738526501
200,SCE,57,1.51835477053002
201,SCE,58,1.51835477053002
202,SCE,59,2.0244730273733595
203,SCE,60,3.03670954106004
204,SCE,61,3.54282779790338
205,SCE,62,9.110128623180117
206,SCE,63,11.134601650553478
207,SCE,64,12.14683816424016
208,SCE,65,11.640719907396816
209,SCE,66,9.110128623180117
210,SCE,67,3.03670954106004
211,SCE,68,9.110128623180117
212,SCE,69,16.701902475830213
213,SCE,70,11.640719907396816
214,SCE,71,12.652956421083498
215,SCE,72,15.1835477053002
216,SDGE,49,0.9647879271076168
217,SDGE,50,0.2411969817769042
218,SDGE,51,0.2411969817769042
219,SDGE,52,0.3215959757025389
220,SDGE,53,0.7235909453307123
221,SDGE,54,1.5275808845870598
222,SDGE,55,2.4119698177690423
223,SDGE,56,1.2059849088845211
224,SDGE,57,0.2411969817769042
225,SDGE,58,0.2411969817769042
226,SDGE,59,0.3215959757025389
227,SDGE,60,0.4823939635538084
228,SDGE,61,0.5627929574794431
229,SDGE,62,1.4471818906614249
230,SDGE,63,1.768777866363964
231,SDGE,64,1.9295758542152335
232,SDGE,65,1.8491768602895984
233,SDGE,66,1.4471818906614249
234,SDGE,67,0.4823939635538084
235,SDGE,68,1.4471818906614249
236,SDGE,69,2.653166799545945
237,SDGE,70,1.8491768602895984
238,SDGE,71,2.0099748481408684
239,SDGE,72,2.4119698177690423
240,PGE_bay,49,1.6132519436881463
241,PGE_bay,50,0.40331298592203657
242,PGE_bay,51,0.40331298592203657
243,PGE_bay,52,0.5377506478960484
244,PGE_bay,53,1.2099389577661093
245,PGE_bay,54,2.5543155775062307
246,PGE_bay,55,4.033129859220366
247,PGE_bay,56,2.016564929610183
248,PGE_bay,57,0.40331298592203657
249,PGE_bay,58,0.40331298592203657
250,PGE_bay,59,0.5377506478960484
251,PGE_bay,60,0.8066259718440731
252,PGE_bay,61,0.9410636338180851
253,PGE_bay,62,2.4198779155322185
254,PGE_bay,63,2.9576285634282673
255,PGE_bay,64,3.2265038873762926
256,PGE_bay,65,3.092066225402279
257,PGE_bay,66,2.4198779155322185
258,PGE_bay,67,0.8066259718440731
259,PGE_bay,68,2.4198779155322185
260,PGE_bay,69,4.4364428451424
261,PGE_bay,70,3.092066225402279
262,PGE_bay,71,3.360941549350304
263,PGE_bay,72,4.033129859220366
264,PGE_valley,49,0.860401036633678
265,PGE_valley,50,0.2151002591584195
266,PGE_valley,51,0.2151002591584195
267,PGE_valley,52,0.28680034554455924
268,PGE_valley,53,0.6453007774752583
269,PGE_valley,54,1.3623016413366564
270,PGE_valley,55,2.151002591584195
271,PGE_valley,56,1.0755012957920975
272,PGE_valley,57,0.2151002591584195
273,PGE_valley,58,0.2151002591584195
274,PGE_valley,59,0.28680034554455924
275,PGE_valley,60,0.430200518316839
276,PGE_valley,61,0.5019006047029788
277,PGE_valley,62,1.2906015549505165
278,PGE_valley,63,1.577401900495076
