,Generator,Time,Value,Zones,Type,$/MWh
0,SLACK,1,0.0,PNW,Slack,700.0
1,SLACK,2,0.0,PNW,Slack,700.0
2,SLACK,3,0.0,PNW,Slack,700.0
3,SLACK,4,0.0,PNW,Slack,700.0
4,SLACK,5,0.0,PNW,Slack,700.0
5,SLACK,6,0.0,PNW,Slack,700.0
6,SLACK,7,0.0,PNW,Slack,700.0
7,SLACK,8,0.0,PNW,Slack,700.0
8,SLACK,9,0.0,PNW,Slack,700.0
9,SLACK,10,0.0,PNW,Slack,700.0
10,SLACK,11,0.0,PNW,Slack,700.0
11,SLACK,12,0.0,PNW,Slack,700.0
12,SLACK,13,0.0,PNW,Slack,700.0
13,SLACK,14,0.0,PNW,Slack,700.0
14,SLACK,15,0.0,PNW,Slack,700.0
15,SLACK,16,0.0,PNW,Slack,700.0
16,SLACK,17,0.0,PNW,Slack,700.0
17,SLACK,18,0.0,PNW,Slack,700.0
18,SLACK,19,0.0,PNW,Slack,700.0
19,SLACK,20,0.0,PNW,Slack,700.0
20,SLACK,21,0.0,PNW,Slack,700.0
21,SLACK,22,0.0,PNW,Slack,700.0
22,SLACK,23,0.0,PNW,Slack,700.0
23,SLACK,24,0.0,PNW,Slack,700.0
24,GRAYS_HARBOR_ST1,1,0.0,PNW,Gas,39.937336493080004
25,GRAYS_HARBOR_ST1,2,0.0,PNW,Gas,39.937336493080004
26,GRAYS_HARBOR_ST1,3,0.0,PNW,Gas,39.937336493080004
27,GRAYS_HARBOR_ST1,4,0.0,PNW,Gas,39.937336493080004
28,GRAYS_HARBOR_ST1,5,0.0,PNW,Gas,39.937336493080004
29,GRAYS_HARBOR_ST1,6,0.0,PNW,Gas,39.937336493080004
30,GRAYS_HARBOR_ST1,7,0.0,PNW,Gas,39.937336493080004
31,GRAYS_HARBOR_ST1,8,0.0,PNW,Gas,39.937336493080004
32,GRAYS_HARBOR_ST1,9,0.0,PNW,Gas,39.937336493080004
33,GRAYS_HARBOR_ST1,10,0.0,PNW,Gas,39.937336493080004
34,GRAYS_HARBOR_ST1,11,0.0,PNW,Gas,39.937336493080004
35,GRAYS_HARBOR_ST1,12,0.0,PNW,Gas,39.937336493080004
36,GRAYS_HARBOR_ST1,13,0.0,PNW,Gas,39.937336493080004
37,GRAYS_HARBOR_ST1,14,0.0,PNW,Gas,39.937336493080004
38,GRAYS_HARBOR_ST1,15,0.0,PNW,Gas,39.937336493080004
39,GRAYS_HARBOR_ST1,16,0.0,PNW,Gas,39.937336493080004
40,GRAYS_HARBOR_ST1,17,0.0,PNW,Gas,39.937336493080004
41,GRAYS_HARBOR_ST1,18,0.0,PNW,Gas,39.937336493080004
42,GRAYS_HARBOR_ST1,19,0.0,PNW,Gas,39.937336493080004
43,GRAYS_HARBOR_ST1,20,0.0,PNW,Gas,39.937336493080004
44,GRAYS_HARBOR_ST1,21,0.0,PNW,Gas,39.937336493080004
45,GRAYS_HARBOR_ST1,22,0.0,PNW,Gas,39.937336493080004
46,GRAYS_HARBOR_ST1,23,0.0,PNW,Gas,39.937336493080004
47,GRAYS_HARBOR_ST1,24,0.0,PNW,Gas,39.937336493080004
48,FREDERICKSON_PWR_FIST,1,0.0,PNW,Gas,41.333336493080004
49,FREDERICKSON_PWR_FIST,2,0.0,PNW,Gas,41.333336493080004
50,FREDERICKSON_PWR_FIST,3,0.0,PNW,Gas,41.333336493080004
51,FREDERICKSON_PWR_FIST,4,0.0,PNW,Gas,41.333336493080004
52,FREDERICKSON_PWR_FIST,5,0.0,PNW,Gas,41.333336493080004
53,FREDERICKSON_PWR_FIST,6,0.0,PNW,Gas,41.333336493080004
54,FREDERICKSON_PWR_FIST,7,0.0,PNW,Gas,41.333336493080004
55,FREDERICKSON_PWR_FIST,8,0.0,PNW,Gas,41.333336493080004
56,FREDERICKSON_PWR_FIST,9,0.0,PNW,Gas,41.333336493080004
57,FREDERICKSON_PWR_FIST,10,0.0,PNW,Gas,41.333336493080004
58,FREDERICKSON_PWR_FIST,11,0.0,PNW,Gas,41.333336493080004
59,FREDERICKSON_PWR_FIST,12,0.0,PNW,Gas,41.333336493080004
60,FREDERICKSON_PWR_FIST,13,0.0,PNW,Gas,41.333336493080004
61,FREDERICKSON_PWR_FIST,14,0.0,PNW,Gas,41.333336493080004
62,FREDERICKSON_PWR_FIST,15,0.0,PNW,Gas,41.333336493080004
63,FREDERICKSON_PWR_FIST,16,0.0,PNW,Gas,41.333336493080004
64,FREDERICKSON_PWR_FIST,17,0.0,PNW,Gas,41.333336493080004
65,FREDERICKSON_PWR_FIST,18,0.0,PNW,Gas,41.333336493080004
66,FREDERICKSON_PWR_FIST,19,0.0,PNW,Gas,41.333336493080004
67,FREDERICKSON_PWR_FIST,20,0.0,PNW,Gas,41.333336493080004
68,FREDERICKSON_PWR_FIST,21,0.0,PNW,Gas,41.333336493080004
69,FREDERICKSON_PWR_FIST,22,0.0,PNW,Gas,41.333336493080004
70,FREDERICKSON_PWR_FIST,23,0.0,PNW,Gas,41.333336493080004
71,FREDERICKSON_PWR_FIST,24,0.0,PNW,Gas,41.333336493080004
72,COYOTE_SPRINGS_2_GEN_2,1,70.2,PNW,Gas,38.820536493080006
73,COYOTE_SPRINGS_2_GEN_2,2,70.2,PNW,Gas,38.820536493080006
74,COYOTE_SPRINGS_2_GEN_2,3,70.2,PNW,Gas,38.820536493080006
75,COYOTE_SPRINGS_2_GEN_2,4,70.2,PNW,Gas,38.820536493080006
76,COYOTE_SPRINGS_2_GEN_2,5,70.2,PNW,Gas,38.820536493080006
77,COYOTE_SPRINGS_2_GEN_2,6,70.2,PNW,Gas,38.820536493080006
78,COYOTE_SPRINGS_2_GEN_2,7,70.2,PNW,Gas,38.820536493080006
79,COYOTE_SPRINGS_2_GEN_2,8,70.2,PNW,Gas,38.820536493080006
80,COYOTE_SPRINGS_2_GEN_2,9,70.2,PNW,Gas,38.820536493080006
81,COYOTE_SPRINGS_2_GEN_2,10,70.2,PNW,Gas,38.820536493080006
82,COYOTE_SPRINGS_2_GEN_2,11,70.2,PNW,Gas,38.820536493080006
83,COYOTE_SPRINGS_2_GEN_2,12,70.2,PNW,Gas,38.820536493080006
84,COYOTE_SPRINGS_2_GEN_2,13,70.2,PNW,Gas,38.820536493080006
85,COYOTE_SPRINGS_2_GEN_2,14,70.2,PNW,Gas,38.820536493080006
86,COYOTE_SPRINGS_2_GEN_2,15,70.2,PNW,Gas,38.820536493080006
87,COYOTE_SPRINGS_2_GEN_2,16,70.2,PNW,Gas,38.820536493080006
88,COYOTE_SPRINGS_2_GEN_2,17,70.2,PNW,Gas,38.820536493080006
89,COYOTE_SPRINGS_2_GEN_2,18,70.2,PNW,Gas,38.820536493080006
90,COYOTE_SPRINGS_2_GEN_2,19,70.2,PNW,Gas,38.820536493080006
91,COYOTE_SPRINGS_2_GEN_2,20,70.2,PNW,Gas,38.820536493080006
92,COYOTE_SPRINGS_2_GEN_2,21,70.2,PNW,Gas,38.820536493080006
93,COYOTE_SPRINGS_2_GEN_2,22,70.2,PNW,Gas,38.820536493080006
94,COYOTE_SPRINGS_2_GEN_2,23,70.2,PNW,Gas,38.820536493080006
95,COYOTE_SPRINGS_2_GEN_2,24,70.2,PNW,Gas,38.820536493080006
96,COYOTE_SPRINGS_2_GEN_1,1,102.0,PNW,Gas,38.820536493080006
97,COYOTE_SPRINGS_2_GEN_1,2,102.0,PNW,Gas,38.820536493080006
98,COYOTE_SPRINGS_2_GEN_1,3,102.0,PNW,Gas,38.820536493080006
99,COYOTE_SPRINGS_2_GEN_1,4,102.0,PNW,Gas,38.820536493080006
100,COYOTE_SPRINGS_2_GEN_1,5,102.0,PNW,Gas,38.820536493080006
101,COYOTE_SPRINGS_2_GEN_1,6,102.0,PNW,Gas,38.820536493080006
102,COYOTE_SPRINGS_2_GEN_1,7,102.0,PNW,Gas,38.820536493080006
103,COYOTE_SPRINGS_2_GEN_1,8,102.0,PNW,Gas,38.820536493080006
104,COYOTE_SPRINGS_2_GEN_1,9,102.0,PNW,Gas,38.820536493080006
105,COYOTE_SPRINGS_2_GEN_1,10,102.0,PNW,Gas,38.820536493080006
106,COYOTE_SPRINGS_2_GEN_1,11,102.0,PNW,Gas,38.820536493080006
107,COYOTE_SPRINGS_2_GEN_1,12,102.0,PNW,Gas,38.820536493080006
108,COYOTE_SPRINGS_2_GEN_1,13,102.0,PNW,Gas,38.820536493080006
109,COYOTE_SPRINGS_2_GEN_1,14,102.0,PNW,Gas,38.820536493080006
110,COYOTE_SPRINGS_2_GEN_1,15,102.0,PNW,Gas,38.820536493080006
111,COYOTE_SPRINGS_2_GEN_1,16,102.0,PNW,Gas,38.820536493080006
112,COYOTE_SPRINGS_2_GEN_1,17,102.0,PNW,Gas,38.820536493080006
113,COYOTE_SPRINGS_2_GEN_1,18,102.0,PNW,Gas,38.820536493080006
114,COYOTE_SPRINGS_2_GEN_1,19,102.0,PNW,Gas,38.820536493080006
115,COYOTE_SPRINGS_2_GEN_1,20,102.0,PNW,Gas,38.820536493080006
116,COYOTE_SPRINGS_2_GEN_1,21,102.0,PNW,Gas,38.820536493080006
117,COYOTE_SPRINGS_2_GEN_1,22,102.0,PNW,Gas,38.820536493080006
118,COYOTE_SPRINGS_2_GEN_1,23,102.0,PNW,Gas,38.820536493080006
119,COYOTE_SPRINGS_2_GEN_1,24,102.0,PNW,Gas,38.820536493080006
120,PORT_WESTWARD_1_GEN_1,1,187.2,PNW,Gas,38.750736493080005
121,PORT_WESTWARD_1_GEN_1,2,187.2,PNW,Gas,38.750736493080005
122,PORT_WESTWARD_1_GEN_1,3,187.2,PNW,Gas,38.750736493080005
123,PORT_WESTWARD_1_GEN_1,4,187.2,PNW,Gas,38.750736493080005
124,PORT_WESTWARD_1_GEN_1,5,187.2,PNW,Gas,38.750736493080005
125,PORT_WESTWARD_1_GEN_1,6,187.2,PNW,Gas,38.750736493080005
126,PORT_WESTWARD_1_GEN_1,7,187.2,PNW,Gas,38.750736493080005
127,PORT_WESTWARD_1_GEN_1,8,187.2,PNW,Gas,38.750736493080005
128,PORT_WESTWARD_1_GEN_1,9,187.2,PNW,Gas,38.750736493080005
129,PORT_WESTWARD_1_GEN_1,10,187.2,PNW,Gas,38.750736493080005
130,PORT_WESTWARD_1_GEN_1,11,187.2,PNW,Gas,38.750736493080005
131,PORT_WESTWARD_1_GEN_1,12,187.2,PNW,Gas,38.750736493080005
132,PORT_WESTWARD_1_GEN_1,13,187.2,PNW,Gas,38.750736493080005
133,PORT_WESTWARD_1_GEN_1,14,187.2,PNW,Gas,38.750736493080005
134,PORT_WESTWARD_1_GEN_1,15,187.2,PNW,Gas,38.750736493080005
135,PORT_WESTWARD_1_GEN_1,16,187.2,PNW,Gas,38.750736493080005
136,PORT_WESTWARD_1_GEN_1,17,187.2,PNW,Gas,38.750736493080005
137,PORT_WESTWARD_1_GEN_1,18,187.2,PNW,Gas,38.750736493080005
138,PORT_WESTWARD_1_GEN_1,19,187.2,PNW,Gas,38.750736493080005
139,PORT_WESTWARD_1_GEN_1,20,187.2,PNW,Gas,38.750736493080005
140,PORT_WESTWARD_1_GEN_1,21,187.2,PNW,Gas,38.750736493080005
141,PORT_WESTWARD_1_GEN_1,22,187.2,PNW,Gas,38.750736493080005
142,PORT_WESTWARD_1_GEN_1,23,187.2,PNW,Gas,38.750736493080005
143,PORT_WESTWARD_1_GEN_1,24,187.2,PNW,Gas,38.750736493080005
144,PORT_WESTWARD_1_GEN_2,1,102.6,PNW,Gas,38.750736493080005
145,PORT_WESTWARD_1_GEN_2,2,102.6,PNW,Gas,38.750736493080005
146,PORT_WESTWARD_1_GEN_2,3,102.6,PNW,Gas,38.750736493080005
147,PORT_WESTWARD_1_GEN_2,4,102.6,PNW,Gas,38.750736493080005
148,PORT_WESTWARD_1_GEN_2,5,102.6,PNW,Gas,38.750736493080005
149,PORT_WESTWARD_1_GEN_2,6,102.6,PNW,Gas,38.750736493080005
150,PORT_WESTWARD_1_GEN_2,7,102.6,PNW,Gas,38.750736493080005
151,PORT_WESTWARD_1_GEN_2,8,102.6,PNW,Gas,38.750736493080005
152,PORT_WESTWARD_1_GEN_2,9,102.6,PNW,Gas,38.750736493080005
153,PORT_WESTWARD_1_GEN_2,10,102.6,PNW,Gas,38.750736493080005
154,PORT_WESTWARD_1_GEN_2,11,102.6,PNW,Gas,38.750736493080005
155,PORT_WESTWARD_1_GEN_2,12,102.6,PNW,Gas,38.750736493080005
156,PORT_WESTWARD_1_GEN_2,13,102.6,PNW,Gas,38.750736493080005
157,PORT_WESTWARD_1_GEN_2,14,102.6,PNW,Gas,38.750736493080005
158,PORT_WESTWARD_1_GEN_2,15,102.6,PNW,Gas,38.750736493080005
159,PORT_WESTWARD_1_GEN_2,16,102.6,PNW,Gas,38.750736493080005
160,PORT_WESTWARD_1_GEN_2,17,102.6,PNW,Gas,38.750736493080005
161,PORT_WESTWARD_1_GEN_2,18,102.6,PNW,Gas,38.750736493080005
162,PORT_WESTWARD_1_GEN_2,19,102.6,PNW,Gas,38.750736493080005
163,PORT_WESTWARD_1_GEN_2,20,102.6,PNW,Gas,38.750736493080005
164,PORT_WESTWARD_1_GEN_2,21,102.6,PNW,Gas,38.750736493080005
165,PORT_WESTWARD_1_GEN_2,22,102.6,PNW,Gas,38.750736493080005
166,PORT_WESTWARD_1_GEN_2,23,102.6,PNW,Gas,38.750736493080005
167,PORT_WESTWARD_1_GEN_2,24,102.6,PNW,Gas,38.750736493080005
168,ALDEN_BAILEY_LOKI,1,0.0,PNW,Gas,39.7100013063
169,ALDEN_BAILEY_LOKI,2,0.0,PNW,Gas,39.7100013063
170,ALDEN_BAILEY_LOKI,3,0.0,PNW,Gas,39.7100013063
171,ALDEN_BAILEY_LOKI,4,0.0,PNW,Gas,39.7100013063
172,ALDEN_BAILEY_LOKI,5,0.0,PNW,Gas,39.7100013063
173,ALDEN_BAILEY_LOKI,6,0.0,PNW,Gas,39.7100013063
174,ALDEN_BAILEY_LOKI,7,0.0,PNW,Gas,39.7100013063
175,ALDEN_BAILEY_LOKI,8,0.0,PNW,Gas,39.7100013063
176,ALDEN_BAILEY_LOKI,9,0.0,PNW,Gas,39.7100013063
177,ALDEN_BAILEY_LOKI,10,0.0,PNW,Gas,39.7100013063
178,ALDEN_BAILEY_LOKI,11,0.0,PNW,Gas,39.7100013063
179,ALDEN_BAILEY_LOKI,12,0.0,PNW,Gas,39.7100013063
180,ALDEN_BAILEY_LOKI,13,0.0,PNW,Gas,39.7100013063
181,ALDEN_BAILEY_LOKI,14,0.0,PNW,Gas,39.7100013063
182,ALDEN_BAILEY_LOKI,15,0.0,PNW,Gas,39.7100013063
183,ALDEN_BAILEY_LOKI,16,0.0,PNW,Gas,39.7100013063
184,ALDEN_BAILEY_LOKI,17,0.0,PNW,Gas,39.7100013063
185,ALDEN_BAILEY_LOKI,18,0.0,PNW,Gas,39.7100013063
186,ALDEN_BAILEY_LOKI,19,0.0,PNW,Gas,39.7100013063
187,ALDEN_BAILEY_LOKI,20,0.0,PNW,Gas,39.7100013063
188,ALDEN_BAILEY_LOKI,21,0.0,PNW,Gas,39.7100013063
189,ALDEN_BAILEY_LOKI,22,0.0,PNW,Gas,39.7100013063
190,ALDEN_BAILEY_LOKI,23,0.0,PNW,Gas,39.7100013063
191,ALDEN_BAILEY_LOKI,24,0.0,PNW,Gas,39.7100013063
192,RATHDRUMPWR_STG1,1,73.25999999999999,PNW,Gas,39.72793649308001
193,RATHDRUMPWR_STG1,2,73.25999999999999,PNW,Gas,39.72793649308001
194,RATHDRUMPWR_STG1,3,73.25999999999999,PNW,Gas,39.72793649308001
195,RATHDRUMPWR_STG1,4,73.25999999999999,PNW,Gas,39.72793649308001
196,RATHDRUMPWR_STG1,5,73.25999999999999,PNW,Gas,39.72793649308001
197,RATHDRUMPWR_STG1,6,73.25999999999999,PNW,Gas,39.72793649308001
198,RATHDRUMPWR_STG1,7,73.25999999999999,PNW,Gas,39.72793649308001
199,RATHDRUMPWR_STG1,8,73.25999999999999,PNW,Gas,39.72793649308001
200,RATHDRUMPWR_STG1,9,73.25999999999999,PNW,Gas,39.72793649308001
201,RATHDRUMPWR_STG1,10,73.25999999999999,PNW,Gas,39.72793649308001
202,RATHDRUMPWR_STG1,11,73.25999999999999,PNW,Gas,39.72793649308001
203,RATHDRUMPWR_STG1,12,73.25999999999999,PNW,Gas,39.72793649308001
204,RATHDRUMPWR_STG1,13,73.25999999999999,PNW,Gas,39.72793649308001
205,RATHDRUMPWR_STG1,14,73.25999999999999,PNW,Gas,39.72793649308001
206,RATHDRUMPWR_STG1,15,73.25999999999999,PNW,Gas,39.72793649308001
207,RATHDRUMPWR_STG1,16,73.25999999999999,PNW,Gas,39.72793649308001
208,RATHDRUMPWR_STG1,17,73.25999999999999,PNW,Gas,39.72793649308001
209,RATHDRUMPWR_STG1,18,73.25999999999999,PNW,Gas,39.72793649308001
210,RATHDRUMPWR_STG1,19,73.25999999999999,PNW,Gas,39.72793649308001
211,RATHDRUMPWR_STG1,20,73.25999999999999,PNW,Gas,39.72793649308001
212,RATHDRUMPWR_STG1,21,73.25999999999999,PNW,Gas,39.72793649308001
213,RATHDRUMPWR_STG1,22,73.25999999999999,PNW,Gas,39.72793649308001
214,RATHDRUMPWR_STG1,23,73.25999999999999,PNW,Gas,39.72793649308001
215,RATHDRUMPWR_STG1,24,73.25999999999999,PNW,Gas,39.72793649308001
216,HERMISTON_4,1,0.0,PNW,Gas,42.101136493080006
217,HERMISTON_4,2,0.0,PNW,Gas,42.101136493080006
218,HERMISTON_4,3,0.0,PNW,Gas,42.101136493080006
219,HERMISTON_4,4,0.0,PNW,Gas,42.101136493080006
220,HERMISTON_4,5,0.0,PNW,Gas,42.101136493080006
221,HERMISTON_4,6,0.0,PNW,Gas,42.101136493080006
222,HERMISTON_4,7,0.0,PNW,Gas,42.101136493080006
