,Generator,Time,Value,Zones
0,SLACK,1,0.0,PNW
1,SLACK,2,0.0,PNW
2,SLACK,3,0.0,PNW
3,SLACK,4,0.0,PNW
4,SLACK,5,0.0,PNW
5,SLACK,6,0.0,PNW
6,SLACK,7,0.0,PNW
7,SLACK,8,0.0,PNW
8,SLACK,9,0.0,PNW
9,SLACK,10,0.0,PNW
10,SLACK,11,0.0,PNW
11,SLACK,12,0.0,PNW
12,SLACK,13,0.0,PNW
13,SLACK,14,0.0,PNW
14,SLACK,15,0.0,PNW
15,SLACK,16,0.0,PNW
16,SLACK,17,0.0,PNW
17,SLACK,18,0.0,PNW
18,SLACK,19,0.0,PNW
19,SLACK,20,0.0,PNW
20,SLACK,21,0.0,PNW
21,SLACK,22,0.0,PNW
22,SLACK,23,0.0,PNW
23,SLACK,24,0.0,PNW
24,GRAYS_HARBOR_ST1,1,300.0,PNW
25,GRAYS_HARBOR_ST1,2,300.0,PNW
26,GRAYS_HARBOR_ST1,3,300.0,PNW
27,GRAYS_HARBOR_ST1,4,300.0,PNW
28,GRAYS_HARBOR_ST1,5,300.0,PNW
29,GRAYS_HARBOR_ST1,6,300.0,PNW
30,GRAYS_HARBOR_ST1,7,300.0,PNW
31,GRAYS_HARBOR_ST1,8,300.0,PNW
32,GRAYS_HARBOR_ST1,9,300.0,PNW
33,GRAYS_HARBOR_ST1,10,300.0,PNW
34,GRAYS_HARBOR_ST1,11,300.0,PNW
35,GRAYS_HARBOR_ST1,12,300.0,PNW
36,GRAYS_HARBOR_ST1,13,300.0,PNW
37,GRAYS_HARBOR_ST1,14,300.0,PNW
38,GRAYS_HARBOR_ST1,15,300.0,PNW
39,GRAYS_HARBOR_ST1,16,300.0,PNW
40,GRAYS_HARBOR_ST1,17,300.0,PNW
41,GRAYS_HARBOR_ST1,18,300.0,PNW
42,GRAYS_HARBOR_ST1,19,300.0,PNW
43,GRAYS_HARBOR_ST1,20,300.0,PNW
44,GRAYS_HARBOR_ST1,21,300.0,PNW
45,GRAYS_HARBOR_ST1,22,300.0,PNW
46,GRAYS_HARBOR_ST1,23,300.0,PNW
47,GRAYS_HARBOR_ST1,24,300.0,PNW
48,FREDERICKSON_PWR_FIST,1,126.3,PNW
49,FREDERICKSON_PWR_FIST,2,126.3,PNW
50,FREDERICKSON_PWR_FIST,3,126.3,PNW
51,FREDERICKSON_PWR_FIST,4,126.3,PNW
52,FREDERICKSON_PWR_FIST,5,126.3,PNW
53,FREDERICKSON_PWR_FIST,6,126.3,PNW
54,FREDERICKSON_PWR_FIST,7,126.3,PNW
55,FREDERICKSON_PWR_FIST,8,126.3,PNW
56,FREDERICKSON_PWR_FIST,9,126.3,PNW
57,FREDERICKSON_PWR_FIST,10,126.3,PNW
58,FREDERICKSON_PWR_FIST,11,126.3,PNW
59,FREDERICKSON_PWR_FIST,12,126.3,PNW
60,FREDERICKSON_PWR_FIST,13,126.3,PNW
61,FREDERICKSON_PWR_FIST,14,126.3,PNW
62,FREDERICKSON_PWR_FIST,15,126.3,PNW
63,FREDERICKSON_PWR_FIST,16,126.3,PNW
64,FREDERICKSON_PWR_FIST,17,126.3,PNW
65,FREDERICKSON_PWR_FIST,18,126.3,PNW
66,FREDERICKSON_PWR_FIST,19,126.3,PNW
67,FREDERICKSON_PWR_FIST,20,126.3,PNW
68,FREDERICKSON_PWR_FIST,21,126.3,PNW
69,FREDERICKSON_PWR_FIST,22,126.3,PNW
70,FREDERICKSON_PWR_FIST,23,126.3,PNW
71,FREDERICKSON_PWR_FIST,24,126.3,PNW
72,COYOTE_SPRINGS_2_GEN_2,1,0.0,PNW
73,COYOTE_SPRINGS_2_GEN_2,2,0.0,PNW
74,COYOTE_SPRINGS_2_GEN_2,3,0.0,PNW
75,COYOTE_SPRINGS_2_GEN_2,4,0.0,PNW
76,COYOTE_SPRINGS_2_GEN_2,5,0.0,PNW
77,COYOTE_SPRINGS_2_GEN_2,6,0.0,PNW
