,Zone,Time,Value
0,PNW,1,196.8566265450984
1,PNW,2,257.40529537611025
2,PNW,3,551.0016013300288
3,PNW,4,950.720320966659
4,PNW,5,1274.4375928352126
5,PNW,6,1013.8003274767101
6,PNW,7,1179.8401891183164
7,PNW,8,1303.5027631856344
8,PNW,9,1651.7976134278283
9,PNW,10,2021.5899774628467
10,PNW,11,1830.5707395129705
11,PNW,12,2601.144259167709
12,PNW,13,3190.6142329932977
13,PNW,14,3234.641420666236
14,PNW,15,2308.2400069443343
15,PNW,16,2217.405698087212
16,PNW,17,1918.5233928150265
17,PNW,18,1228.2955895250698
18,PNW,19,1109.750045342968
19,PNW,20,704.4800286349879
20,PNW,21,337.3232090913441
21,PNW,22,188.94619953123146
22,PNW,23,140.39877905855838
23,PNW,24,176.91481667266166
24,PNW,25,753.385429020141
25,PNW,26,851.4056698237475
26,PNW,27,1057.0197661184952
27,PNW,28,1132.7609221670484
28,PNW,29,1041.8018607793233
29,PNW,30,1151.853967168454
30,PNW,31,1355.0253079917975
31,PNW,32,1253.1028424276114
32,PNW,33,1107.6171044727596
33,PNW,34,946.0811455342176
34,PNW,35,1156.3833384852085
35,PNW,36,1015.1698158152251
36,PNW,37,855.8189034144319
37,PNW,38,784.7426150592096
38,PNW,39,571.7460254456846
39,PNW,40,494.8396218240202
40,PNW,41,576.9722231188628
41,PNW,42,544.1284720595443
42,PNW,43,527.729827264917
43,PNW,44,481.4760427010881
44,PNW,45,389.7117543114352
45,PNW,46,403.2998682616983
46,PNW,47,292.66706969797383
47,PNW,48,197.44187671699143
48,PNW,49,164.88789564784022
49,PNW,50,141.1362232146987
50,PNW,51,77.39137464062054
51,PNW,52,244.19497353320077
52,PNW,53,373.44772792559763
53,PNW,54,428.0796286995958
54,PNW,55,558.3245790381761
55,PNW,56,746.4604169770603
56,PNW,57,665.3826470581163
57,PNW,58,629.8123792392411
58,PNW,59,685.5547789462764
59,PNW,60,561.8659578646716
60,PNW,61,551.5394777233911
61,PNW,62,640.5395578613493
62,PNW,63,996.6238340191574
63,PNW,64,892.0615254433658
64,PNW,65,817.6467421350765
65,PNW,66,836.4221643851683
66,PNW,67,783.6220121233736
67,PNW,68,694.6415600584244
68,PNW,69,697.3237617396741
69,PNW,70,502.3799277258717
70,PNW,71,327.33345878148253
71,PNW,72,390.62037022751053
72,PNW,73,4316.397346693333
73,PNW,74,4321.3434252943935
74,PNW,75,4274.311279925348
75,PNW,76,3692.6456590158577
76,PNW,77,3432.9348262772833
77,PNW,78,3010.5812213934278
78,PNW,79,2857.843688076568
79,PNW,80,2780.8232742094133
80,PNW,81,2653.7183717612625
81,PNW,82,2273.5176832035845
82,PNW,83,2311.0587415229293
83,PNW,84,2245.445437813448
84,PNW,85,2019.0851099056686
85,PNW,86,1635.5424873729742
86,PNW,87,1350.364121504908
87,PNW,88,1099.719073378694
88,PNW,89,813.0925361214643
89,PNW,90,641.6810322292179
90,PNW,91,531.3452245075115
91,PNW,92,574.6121290241371
92,PNW,93,621.3769237546958
93,PNW,94,774.5711717300961
94,PNW,95,763.9958123152237
95,PNW,96,699.9198036735902
