,Source,Sink,Time,Value
0,PGE_valley,PGE_valley,1,
1,PGE_valley,PGE_valley,2,
2,PGE_valley,PGE_valley,3,
3,PGE_valley,PGE_valley,4,
4,PGE_valley,PGE_valley,5,
5,PGE_valley,PGE_valley,6,
6,PGE_valley,PGE_valley,7,
7,PGE_valley,PGE_valley,8,
8,PGE_valley,PGE_valley,9,
9,PGE_valley,PGE_valley,10,
10,PGE_valley,PGE_valley,11,
11,PGE_valley,PGE_valley,12,
12,PGE_valley,PGE_valley,13,
13,PGE_valley,PGE_valley,14,
14,PGE_valley,PGE_valley,15,
15,PGE_valley,PGE_valley,16,
16,PGE_valley,PGE_valley,17,
17,PGE_valley,PGE_valley,18,
18,PGE_valley,PGE_valley,19,
19,PGE_valley,PGE_valley,20,
20,PGE_valley,PGE_valley,21,
21,PGE_valley,PGE_valley,22,
22,PGE_valley,PGE_valley,23,
23,PGE_valley,PGE_valley,24,
24,PGE_valley,SCE,1,
25,PGE_valley,SCE,2,
26,PGE_valley,SCE,3,
27,PGE_valley,SCE,4,
28,PGE_valley,SCE,5,
29,PGE_valley,SCE,6,
30,PGE_valley,SCE,7,
31,PGE_valley,SCE,8,
32,PGE_valley,SCE,9,
33,PGE_valley,SCE,10,
34,PGE_valley,SCE,11,
35,PGE_valley,SCE,12,
36,PGE_valley,SCE,13,
37,PGE_valley,SCE,14,
38,PGE_valley,SCE,15,
39,PGE_valley,SCE,16,
40,PGE_valley,SCE,17,
41,PGE_valley,SCE,18,
42,PGE_valley,SCE,19,
43,PGE_valley,SCE,20,
44,PGE_valley,SCE,21,
45,PGE_valley,SCE,22,
46,PGE_valley,SCE,23,
47,PGE_valley,SCE,24,
48,PGE_valley,PNW,1,
49,PGE_valley,PNW,2,
50,PGE_valley,PNW,3,
51,PGE_valley,PNW,4,
52,PGE_valley,PNW,5,
53,PGE_valley,PNW,6,
54,PGE_valley,PNW,7,
55,PGE_valley,PNW,8,
56,PGE_valley,PNW,9,
57,PGE_valley,PNW,10,
58,PGE_valley,PNW,11,
59,PGE_valley,PNW,12,
60,PGE_valley,PNW,13,
61,PGE_valley,PNW,14,
62,PGE_valley,PNW,15,
63,PGE_valley,PNW,16,
64,PGE_valley,PNW,17,
65,PGE_valley,PNW,18,
66,PGE_valley,PNW,19,
67,PGE_valley,PNW,20,
68,PGE_valley,PNW,21,
69,PGE_valley,PNW,22,
70,PGE_valley,PNW,23,
71,PGE_valley,PNW,24,
72,PGE_valley,SDGE,1,
73,PGE_valley,SDGE,2,
74,PGE_valley,SDGE,3,
75,PGE_valley,SDGE,4,
76,PGE_valley,SDGE,5,
77,PGE_valley,SDGE,6,
78,PGE_valley,SDGE,7,
79,PGE_valley,SDGE,8,
80,PGE_valley,SDGE,9,
81,PGE_valley,SDGE,10,
82,PGE_valley,SDGE,11,
83,PGE_valley,SDGE,12,
84,PGE_valley,SDGE,13,
85,PGE_valley,SDGE,14,
86,PGE_valley,SDGE,15,
87,PGE_valley,SDGE,16,
88,PGE_valley,SDGE,17,
89,PGE_valley,SDGE,18,
90,PGE_valley,SDGE,19,
91,PGE_valley,SDGE,20,
92,PGE_valley,SDGE,21,
93,PGE_valley,SDGE,22,
94,PGE_valley,SDGE,23,
95,PGE_valley,SDGE,24,
96,PGE_valley,PGE_bay,1,
97,PGE_valley,PGE_bay,2,
98,PGE_valley,PGE_bay,3,
99,PGE_valley,PGE_bay,4,
100,PGE_valley,PGE_bay,5,
101,PGE_valley,PGE_bay,6,
102,PGE_valley,PGE_bay,7,
103,PGE_valley,PGE_bay,8,
104,PGE_valley,PGE_bay,9,
105,PGE_valley,PGE_bay,10,
106,PGE_valley,PGE_bay,11,
107,PGE_valley,PGE_bay,12,
108,PGE_valley,PGE_bay,13,
109,PGE_valley,PGE_bay,14,
110,PGE_valley,PGE_bay,15,
111,PGE_valley,PGE_bay,16,
112,PGE_valley,PGE_bay,17,
113,PGE_valley,PGE_bay,18,
114,PGE_valley,PGE_bay,19,
115,PGE_valley,PGE_bay,20,
116,PGE_valley,PGE_bay,21,
117,PGE_valley,PGE_bay,22,
118,PGE_valley,PGE_bay,23,
119,PGE_valley,PGE_bay,24,
120,SCE,PGE_valley,1,
121,SCE,PGE_valley,2,
122,SCE,PGE_valley,3,
123,SCE,PGE_valley,4,
124,SCE,PGE_valley,5,
125,SCE,PGE_valley,6,
126,SCE,PGE_valley,7,
127,SCE,PGE_valley,8,
128,SCE,PGE_valley,9,
129,SCE,PGE_valley,10,
130,SCE,PGE_valley,11,
131,SCE,PGE_valley,12,
132,SCE,PGE_valley,13,
133,SCE,PGE_valley,14,
134,SCE,PGE_valley,15,
135,SCE,PGE_valley,16,
136,SCE,PGE_valley,17,
137,SCE,PGE_valley,18,
138,SCE,PGE_valley,19,
139,SCE,PGE_valley,20,
140,SCE,PGE_valley,21,
141,SCE,PGE_valley,22,
142,SCE,PGE_valley,23,
143,SCE,PGE_valley,24,
144,SCE,SCE,1,
145,SCE,SCE,2,
146,SCE,SCE,3,
147,SCE,SCE,4,
148,SCE,SCE,5,
149,SCE,SCE,6,
150,SCE,SCE,7,
151,SCE,SCE,8,
152,SCE,SCE,9,
153,SCE,SCE,10,
154,SCE,SCE,11,
155,SCE,SCE,12,
156,SCE,SCE,13,
157,SCE,SCE,14,
158,SCE,SCE,15,
159,SCE,SCE,16,
160,SCE,SCE,17,
161,SCE,SCE,18,
162,SCE,SCE,19,
163,SCE,SCE,20,
164,SCE,SCE,21,
165,SCE,SCE,22,
166,SCE,SCE,23,
167,SCE,SCE,24,
168,SCE,PNW,1,
169,SCE,PNW,2,
