,Generator,Time,Value,Zones,Type,$/MWh
0,COLUSA_2_PL1X3,1,0,PGE_valley,Gas,24.7446
1,COLUSA_2_PL1X3,2,0,PGE_valley,Gas,24.7446
2,COLUSA_2_PL1X3,3,0,PGE_valley,Gas,24.7446
3,COLUSA_2_PL1X3,4,0,PGE_valley,Gas,24.7446
4,COLUSA_2_PL1X3,5,0,PGE_valley,Gas,24.7446
5,COLUSA_2_PL1X3,6,0,PGE_valley,Gas,24.7446
6,COLUSA_2_PL1X3,7,0,PGE_valley,Gas,24.7446
7,COLUSA_2_PL1X3,8,0,PGE_valley,Gas,24.7446
8,COLUSA_2_PL1X3,9,0,PGE_valley,Gas,24.7446
9,COLUSA_2_PL1X3,10,0,PGE_valley,Gas,24.7446
10,COLUSA_2_PL1X3,11,0,PGE_valley,Gas,24.7446
11,COLUSA_2_PL1X3,12,0,PGE_valley,Gas,24.7446
12,COLUSA_2_PL1X3,13,0,PGE_valley,Gas,24.7446
13,COLUSA_2_PL1X3,14,0,PGE_valley,Gas,24.7446
14,COLUSA_2_PL1X3,15,0,PGE_valley,Gas,24.7446
15,COLUSA_2_PL1X3,16,0,PGE_valley,Gas,24.7446
16,COLUSA_2_PL1X3,17,0,PGE_valley,Gas,24.7446
17,COLUSA_2_PL1X3,18,0,PGE_valley,Gas,24.7446
18,COLUSA_2_PL1X3,19,0,PGE_valley,Gas,24.7446
19,COLUSA_2_PL1X3,20,0,PGE_valley,Gas,24.7446
20,COLUSA_2_PL1X3,21,0,PGE_valley,Gas,24.7446
21,COLUSA_2_PL1X3,22,0,PGE_valley,Gas,24.7446
22,COLUSA_2_PL1X3,23,0,PGE_valley,Gas,24.7446
23,COLUSA_2_PL1X3,24,0,PGE_valley,Gas,24.7446
24,PNOCHE_1_UNITA1,1,0,PGE_valley,Gas,35.6024
25,PNOCHE_1_UNITA1,2,0,PGE_valley,Gas,35.6024
26,PNOCHE_1_UNITA1,3,0,PGE_valley,Gas,35.6024
27,PNOCHE_1_UNITA1,4,0,PGE_valley,Gas,35.6024
28,PNOCHE_1_UNITA1,5,0,PGE_valley,Gas,35.6024
29,PNOCHE_1_UNITA1,6,0,PGE_valley,Gas,35.6024
30,PNOCHE_1_UNITA1,7,0,PGE_valley,Gas,35.6024
31,PNOCHE_1_UNITA1,8,0,PGE_valley,Gas,35.6024
32,PNOCHE_1_UNITA1,9,0,PGE_valley,Gas,35.6024
33,PNOCHE_1_UNITA1,10,0,PGE_valley,Gas,35.6024
34,PNOCHE_1_UNITA1,11,0,PGE_valley,Gas,35.6024
35,PNOCHE_1_UNITA1,12,0,PGE_valley,Gas,35.6024
36,PNOCHE_1_UNITA1,13,0,PGE_valley,Gas,35.6024
37,PNOCHE_1_UNITA1,14,0,PGE_valley,Gas,35.6024
38,PNOCHE_1_UNITA1,15,0,PGE_valley,Gas,35.6024
39,PNOCHE_1_UNITA1,16,0,PGE_valley,Gas,35.6024
40,PNOCHE_1_UNITA1,17,0,PGE_valley,Gas,35.6024
41,PNOCHE_1_UNITA1,18,0,PGE_valley,Gas,35.6024
42,PNOCHE_1_UNITA1,19,0,PGE_valley,Gas,35.6024
43,PNOCHE_1_UNITA1,20,0,PGE_valley,Gas,35.6024
44,PNOCHE_1_UNITA1,21,0,PGE_valley,Gas,35.6024
45,PNOCHE_1_UNITA1,22,0,PGE_valley,Gas,35.6024
46,PNOCHE_1_UNITA1,23,0,PGE_valley,Gas,35.6024
47,PNOCHE_1_UNITA1,24,0,PGE_valley,Gas,35.6024
48,BASICE_2_UNITS,1,0,PGE_valley,Gas,30.9424
49,BASICE_2_UNITS,2,0,PGE_valley,Gas,30.9424
50,BASICE_2_UNITS,3,0,PGE_valley,Gas,30.9424
