,Generator,Time,Value,Zones
0,COLUSA_2_PL1X3,1,0,PGE_valley
1,COLUSA_2_PL1X3,2,0,PGE_valley
2,COLUSA_2_PL1X3,3,0,PGE_valley
3,COLUSA_2_PL1X3,4,0,PGE_valley
4,COLUSA_2_PL1X3,5,0,PGE_valley
5,COLUSA_2_PL1X3,6,0,PGE_valley
6,COLUSA_2_PL1X3,7,0,PGE_valley
7,COLUSA_2_PL1X3,8,0,PGE_valley
8,COLUSA_2_PL1X3,9,0,PGE_valley
9,COLUSA_2_PL1X3,10,0,PGE_valley
10,COLUSA_2_PL1X3,11,0,PGE_valley
11,COLUSA_2_PL1X3,12,0,PGE_valley
12,COLUSA_2_PL1X3,13,0,PGE_valley
13,COLUSA_2_PL1X3,14,0,PGE_valley
14,COLUSA_2_PL1X3,15,0,PGE_valley
15,COLUSA_2_PL1X3,16,0,PGE_valley
16,COLUSA_2_PL1X3,17,0,PGE_valley
17,COLUSA_2_PL1X3,18,0,PGE_valley
18,COLUSA_2_PL1X3,19,0,PGE_valley
19,COLUSA_2_PL1X3,20,0,PGE_valley
20,COLUSA_2_PL1X3,21,0,PGE_valley
21,COLUSA_2_PL1X3,22,0,PGE_valley
22,COLUSA_2_PL1X3,23,0,PGE_valley
23,COLUSA_2_PL1X3,24,0,PGE_valley
24,PNOCHE_1_UNITA1,1,0,PGE_valley
25,PNOCHE_1_UNITA1,2,0,PGE_valley
26,PNOCHE_1_UNITA1,3,0,PGE_valley
27,PNOCHE_1_UNITA1,4,0,PGE_valley
28,PNOCHE_1_UNITA1,5,0,PGE_valley
29,PNOCHE_1_UNITA1,6,0,PGE_valley
30,PNOCHE_1_UNITA1,7,0,PGE_valley
31,PNOCHE_1_UNITA1,8,0,PGE_valley
32,PNOCHE_1_UNITA1,9,0,PGE_valley
33,PNOCHE_1_UNITA1,10,0,PGE_valley
34,PNOCHE_1_UNITA1,11,0,PGE_valley
35,PNOCHE_1_UNITA1,12,0,PGE_valley
36,PNOCHE_1_UNITA1,13,0,PGE_valley
37,PNOCHE_1_UNITA1,14,0,PGE_valley
38,PNOCHE_1_UNITA1,15,0,PGE_valley
39,PNOCHE_1_UNITA1,16,0,PGE_valley
40,PNOCHE_1_UNITA1,17,0,PGE_valley
